mark,brand_count,kind,owner,basis,brands
tencel,35,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AG; Brax; Buck Mason; Diesel; Eleventy; Faherty; Filson; Finisterre; Frame; Hartford; Indochino; J.Crew; J.Lindeberg; James Perse; Levi's; Malbon; Mott & Bow; Norse Projects; Officine Générale; PAIGE; Percival; Peter Millar; Rails; Rhude; Robert Barakett; Rodd & Gunn; Rowan; Samsøe Samsøe; Sunspel; Tecovas; Ted Baker; Todd Snyder; TravisMathew; Vineyard Vines; johnnie-O
lycra,32,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic; Boggi Milano; Bonobos; Bottega Veneta; Brax; Club Monaco; Diesel; Drake's; Faherty; Fendi; Filson; Finisterre; Indochino; J.Crew; J.Lindeberg; Jack Victor; James Perse; Jil Sander; Johnstons of Elgin; Levi's; Lululemon; Malbon; Marine Layer; PAIGE; Purple; Rag & Bone; Rails; Rhude; Rodd & Gunn; Sid Mashburn; Tecovas; Ted Baker
primaloft,20,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Arc'teryx; Bonobos; Buck Mason; Cuts Clothing; Easy Mondays; Everlane; Faherty; J.Crew; James Perse; Les Deux; Mizzen+Main; Moncler; NN07; Officine Générale; Our Legacy; Purple; Rhude; Samsøe Samsøe; Stone Island; johnnie-O
supima,19,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",BOSS; Banana Republic; Buck Mason; Citizens of Humanity; Diesel; Drake's; Faherty; Frame; Hartford; James Perse; Luca Faloni; Marine Layer; Mizzen+Main; PAIGE; Rhude; Rodd & Gunn; Rowan; Thom Browne; Visvim
coolmax,18,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Bonobos; Brax; Brooks Brothers; Club Monaco; Everlane; Faherty; Filson; Finisterre; J.Crew; J.Lindeberg; Lacoste; Mizzen+Main; Polo Ralph Lauren; Proper Cloth; RLX; Rhude; Vineyard Vines; johnnie-O
loro piana,9,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",BOSS; Billy Reid; Boggi Milano; Bonobos; Brooks Brothers; J.Crew; Our Legacy; Proper Cloth; Todd Snyder
thermore,8,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Aspesi; Baracuta; Brax; Brunello Cucinelli; Faherty; J.Lindeberg; Our Legacy; Sease
ventile,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Lemaire; Ralph Lauren Purple Label; Sunspel; Todd Snyder
sorona,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Aimé Leon Dore; Bonobos; Faherty; Malbon
repreve,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Finisterre; Tecovas; Vineyard Vines
lenzingecovero,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios; Brax; Faherty
horween,3,mill_or_fibre_supplier,Horween Leather Company,Chicago tannery supplying the brands,Bonobos; Faherty; Our Legacy
seawool,2,mill_or_fibre_supplier,Creative Tech Textile,Taiwanese oyster-shell/rPET fibre sold into brands,Faherty; Finisterre
naia,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Samsøe Samsøe
circulose,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Samsøe Samsøe
unbranded),1,noise,,harvest annotation,Rag & Bone
stretch selvage,1,noise,,generic denim descriptor,Marine Layer
signature,1,noise,,generic word,Marine Layer
reviva,1,unclear,,several unrelated Reviva textile marks exist; could not tie Faherty's use to a supplier or to its own line,Faherty
relay jersey,1,house_named_fabric,Theory,Theory's own fabric name,Theory
regal wool,1,house_named_fabric,Theory,"Theory names its cloths (Regal Wool, Good Wool, Neoteric); Regal Wool is Theory's stretch-wool suiting name",Theory
plush melton,1,noise,,Melton is a generic wool cloth type; 'plush' is a descriptor,Theory
pacific linen,1,house_named_fabric,Theory,Theory runs a 'Pacific Linen' fabric collection on its own site; house cloth name,Theory
ortholite[dual-layer ortholite],1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Rag & Bone
neoteric twill,1,house_named_fabric,Theory,Neoteric is Theory's trademarked technical twill,Theory
moonsoft cotton,1,house_named_fabric,Theory,Moonsoft is a Theory-coined cloth name,Theory
luxe jersey,1,house_named_fabric,Marine Layer,"Marine Layer's own fabric name, used as a material family across styles",Marine Layer
livaeco,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty
light bilen,1,house_named_fabric,Theory,Theory runs a 'World of Bilen' fabric franchise; Light Bilen is its lightweight version,Theory
legend[house],1,house_named_fabric,Faherty,Faherty's Legend sweater-shirt fabric; the '[house]' suffix is a harvest artefact,Faherty
kelso nylon,1,house_named_fabric,Theory,Theory-coined fabric name in its nylon family,Theory
good linen,1,house_named_fabric,Theory,"Part of Theory's 'Good' cloth franchise (Good Wool, Good Linen, Good Cotton)",Theory
flex terry,1,house_named_fabric,Marine Layer,Marine Layer's own named fabric,Marine Layer
dritan,1,mill_or_fibre_supplier,ECCO Leather,DriTan is ECCO Leather's trademarked waterless tanning process supplied to other brands,Faherty
creora,1,mill_or_fibre_supplier,Hyosung,Creora is Hyosung's spandex fibre brand,Faherty
cosmos slub cotton,1,house_named_fabric,Theory,Theory names its fabrics (Cosmos) and uses them as PDP fabric marks,Theory
corbet. tencel/lyocell,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Marine Layer
cloud 9,1,house_named_fabric,Marine Layer,Marine Layer's Cloud 9 Fleece fabric carried across its own products,Marine Layer
anemone modal jersey,1,house_named_fabric,Theory,Theory's named fabric (Anemone) plus composition,Theory
'technical fabric' (descriptive,1,noise,,generic descriptor already flagged by the harvester,Rag & Bone
