brand,styles_total,styles_with_composition,natural_pct,synthetic_pct,spandex_styles,shape,synthetic_categories,natural_categories,style_method,colourway_ratio,feed_currency_rate,source,note
Levi's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Carhartt,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Lacoste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Mack Weldon,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Charles Tyrwhitt,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Son of a Tailor,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Mott & Bow,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Banana Republic,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Everlane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Alex Crane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Industry of All Nations,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Marine Layer,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Cuts Clothing,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Bonobos,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Vuori,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rothy's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Lululemon,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Alo,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Southern Tide,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rhoback,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Criquet,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Taylor Stitch,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Outerknown,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Patagonia,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Finisterre,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
Rodd & Gunn,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,,NC
