brand,tee_url,polo_url,dress_shirt_url,jeans_url,dress_pants_url,sweater_url,outerwear_url,shoes_url,site_domain,search_url_on_file,source,note
Levi's,NC,NC,NC,NC,NC,NC,NC,NONE,levi.com,https://www.levi.com/US/en_US/search/,NC,NC
Carhartt,NC,NC,NC,NC,NC,NC,NC,NONE,carhartt.com,https://www.carhartt.com/search?q=,NC,NC
Lacoste,NC,NC,NC,NONE,NC,NC,NC,NC,lacoste.com,https://www.lacoste.com/us/search?q=,NC,NC
Mack Weldon,NC,NC,NC,NC,NC,NC,NC,NONE,mackweldon.com,https://mackweldon.com/search?q=,NC,NC
Charles Tyrwhitt,NC,NC,NC,NC,NC,NC,NC,NC,charlestyrwhitt.com,https://www.charlestyrwhitt.com/us/search?q=,NC,NC
Son of a Tailor,NC,NC,NC,NONE,NONE,NC,NONE,NONE,sonofatailor.com,https://www.sonofatailor.com/search?q=,NC,NC
Mott & Bow,NC,NC,NC,NC,NC,NC,NC,NONE,mottandbow.com,https://www.mottandbow.com/search?q=,NC,NC
J.Crew,NC,NC,NC,NC,NC,NC,NC,NC,jcrew.com,https://www.jcrew.com/search2?Ntrm=,NC,NC
Banana Republic,NC,NC,NC,NC,NC,NC,NC,NC,bananarepublic.gap.com,https://bananarepublic.gap.com/browse/search.do?searchText=,NC,NC
Everlane,NC,NC,NC,NC,NC,NC,NC,NONE,everlane.com,https://www.everlane.com/search?q=,NC,NC
Alex Crane,NC,NC,NC,NONE,NC,NC,NC,NONE,alexcrane.co,https://alexcrane.co/search?q=,NC,NC
Industry of All Nations,NC,NC,NC,NC,NC,NC,NC,NC,industryofallnations.com,https://industryofallnations.com/search?q=,NC,NC
Marine Layer,NC,NC,NC,NC,NC,NC,NC,NONE,marinelayer.com,https://www.marinelayer.com/search?q=,NC,NC
Cuts Clothing,NC,NC,NC,NONE,NC,NONE,NC,NONE,cutsclothing.com,https://www.cutsclothing.com/search?q=,NC,NC
Bonobos,NC,NC,NC,NC,NC,NC,NC,NONE,bonobos.com,https://bonobos.com/search?q=,NC,NC
Vuori,NC,NC,NC,NC,NC,NC,NC,NONE,vuoriclothing.com,https://vuoriclothing.com/search?q=,NC,NC
Rothy's,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NC,rothys.com,https://rothys.com/search?q=,NC,NC
Lululemon,NC,NC,NC,NONE,NC,NC,NC,NC,shop.lululemon.com,https://shop.lululemon.com/search?Ntt=,NC,NC
Alo,NC,NC,NONE,NONE,NC,NC,NC,NONE,aloyoga.com,https://www.aloyoga.com/search?q=,NC,NC
Southern Tide,NC,NC,NC,NC,NC,NC,NC,NONE,southerntide.com,https://southerntide.com/search?q=,NC,NC
Rhoback,NC,NC,NONE,NONE,NC,NC,NC,NONE,rhoback.com,https://rhoback.com/search?q=,NC,NC
Criquet,NC,NC,NC,NONE,NC,NONE,NC,NONE,criquetshirts.com,https://criquetshirts.com/search?q=,NC,NC
Taylor Stitch,NC,NC,NC,NC,NC,NC,NC,NONE,taylorstitch.com,https://www.taylorstitch.com/search?q=,NC,NC
Outerknown,NC,NC,NC,NC,NC,NC,NC,NONE,outerknown.com,https://www.outerknown.com/search?q=,NC,NC
Patagonia,NC,NC,NC,NC,NC,NC,NC,NONE,patagonia.com,https://www.patagonia.com/search/?q=,NC,NC
Finisterre,NC,NC,NC,NC,NC,NC,NC,NONE,finisterre.com,https://finisterre.com/search?q=,NC,NC
Faherty,NC,NC,NC,NC,NC,NC,NC,NC,fahertybrand.com,https://fahertybrand.com/search?q=,NC,NC
Rodd & Gunn,NC,NC,NC,NC,NC,NC,NC,NC,roddandgunn.com,https://www.roddandgunn.com/search?q=,NC,NC
Rowan,NC,NC,NC,NC,NC,NONE,NC,NONE,forrowan.com,https://forrowan.com/search?q=,NC,NC
Mizzen+Main,NC,NC,NC,NC,NC,NC,NC,NONE,mizzenandmain.com,https://www.mizzenandmain.com/search?q=,NC,NC
State & Liberty,NC,NC,NC,NC,NC,NC,NC,NONE,stateandliberty.com,https://stateandliberty.com/search?q=,NC,NC
Rhone,NC,NC,NC,NONE,NC,NC,NC,NONE,rhone.com,https://www.rhone.com/search?q=,NC,NC
J.Lindeberg,NC,NC,NC,NC,NC,NC,NC,NONE,jlindeberg.com,https://www.jlindebergusa.com/search?q=,NC,NC
TravisMathew,NC,NC,NC,NC,NC,NC,NC,NC,travismathew.com,https://www.travismathew.com/search?q=,NC,NC
Malbon,NC,NC,NC,NONE,NC,NC,NC,NC,malbon.com,https://malbon.com/search?q=,NC,NC
Redvanly,NC,NC,NONE,NC,NC,NC,NC,NONE,redvanly.com,https://www.redvanly.com/search?q=,NC,NC
RLX,NC,NC,NONE,NONE,NC,NC,NC,NONE,ralphlauren.com,https://www.ralphlauren.com/search?q=,NC,NC
johnnie-O,NC,NC,NC,NC,NC,NC,NC,NC,johnnie-o.com,https://www.johnnie-o.com/search?q=,NC,NC
Percival,NC,NC,NC,NC,NC,NC,NC,NONE,percivalclo.com,https://www.percivalclo.com/search?q=,NC,NC
Wax London,NC,NC,NC,NC,NC,NC,NC,NONE,waxlondon.com,https://www.waxlondon.com/search?q=,NC,NC
Hiroshi Kato,NC,NC,NC,NC,NC,NONE,NC,NONE,kato-brand.com,https://katobrand.com/search?q=,NC,NC
Sugar Cane,NC,NONE,NC,NC,NONE,NONE,NC,NONE,sugarcane.jp,https://www.selfedge.com/sugar-cane?q=,NC,NC
Buck Mason,NC,NC,NC,NC,NC,NC,NC,NONE,buckmason.com,https://www.buckmason.com/search?q=,NC,NC
Duck Head,NC,NC,NC,NC,NC,NC,NC,NONE,www.duckhead.com,https://www.duckhead.com/search?q=,NC,NC
Wythe,NC,NC,NC,NONE,NC,NC,NC,NONE,wythe.com,https://www.wythe.com/search?q=,NC,NC
AYR,NC,NC,NC,NC,NC,NC,NC,NONE,ayr.com,https://www.ayr.com/search?q=,NC,NC
Alex Mill,NC,NC,NC,NC,NC,NC,NC,NONE,alexmill.com,https://www.alexmill.com/search?q=,NC,NC
Robert Barakett,NC,NC,NC,NONE,NC,NC,NC,NC,robertbarakett.com,https://robertbarakett.com/search?q=,NC,NC
Easy Mondays,NC,NC,NC,NONE,NC,NONE,NC,NONE,easymondays.ca,https://easymondays.ca/search?q=,NC,NC
Indochino,NONE,NONE,NC,NONE,NC,NC,NC,NONE,indochino.com,,NC,NC
Proper Cloth,NC,NC,NC,NC,NC,NC,NC,NONE,propercloth.com,https://propercloth.com/search?q=,NC,NC
Tecovas,NC,NC,NC,NC,NC,NC,NC,NC,tecovas.com,https://www.tecovas.com/search?q=,NC,NC
Patrick James,NC,NC,NC,NC,NC,NC,NC,NC,patrickjames.com,https://www.patrickjames.com/search?q=,NC,NC
Barbour,NC,NC,NC,NONE,NC,NC,NC,NONE,barbour.com,https://www.barbour.com/us/search?q=,NC,NC
Baracuta,NC,NC,NC,NONE,NC,NC,NC,NONE,baracuta.com,https://www.baracuta.com/search?q=,NC,NC
Filson,NC,NC,NC,NC,NC,NC,NC,NONE,filson.com,https://www.filson.com/catalogsearch/result/?q=,NC,NC
James Perse,NC,NC,NC,NC,NC,NC,NC,NC,jamesperse.com,https://www.jamesperse.com/search?q=,NC,NC
Y.Chroma,NC,NC,NC,NC,NC,NC,NC,NONE,ychroma.com,https://www.ychroma.com/search?q=,NC,NC
Madhappy,NC,NC,NONE,NC,NC,NC,NC,NC,madhappy.com,https://www.madhappy.com/search?q=,NC,NC
Kith,NC,NC,NC,NC,NC,NC,NC,NONE,kith.com,https://kith.com/search?q=,NC,NC
Aimé Leon Dore,NC,NC,NC,NC,NC,NC,NC,NC,aimeleondore.com,https://www.aimeleondore.com/search?q=,NC,NC
Massimo Dutti,NC,NC,NC,NC,NC,NC,NC,NC,massimodutti.com,https://www.massimodutti.com/us/search?searchTerm=,NC,NC
Vineyard Vines,NC,NC,NC,NC,NC,NC,NC,NONE,vineyardvines.com,https://www.vineyardvines.com/search?q=,NC,NC
Polo Ralph Lauren,NC,NC,NC,NC,NC,NC,NC,NC,ralphlauren.com,https://www.ralphlauren.com/search?q=,NC,NC
RRL,NC,NC,NC,NC,NC,NC,NC,NONE,ralphlauren.com,https://www.ralphlauren.com/search?q=,NC,NC
J.McLaughlin,NC,NC,NC,NC,NC,NC,NC,NC,jmclaughlin.com,https://www.jmclaughlin.com/search?q=,NC,NC
Peter Millar,NC,NC,NC,NC,NC,NC,NC,NC,petermillar.com,https://www.petermillar.com/search?q=,NC,NC
Ted Baker,NC,NC,NC,NC,NC,NC,NC,NC,tedbaker.com,https://www.tedbaker.com/us/search?q=,NC,NC
Scotch & Soda,NC,NC,NC,NC,NC,NC,NC,NC,scotchandsoda.com,https://www.scotch-soda.com/us/search?q=,NC,NC
NN07,NC,NC,NC,NC,NC,NC,NC,NONE,nn07.com,https://www.nn07.com/search?q=,NC,NC
Samsøe Samsøe,NC,NC,NC,NC,NC,NC,NC,NC,samsoe.com,https://www.samsoe.com/en-US/search?q=,NC,NC
Les Deux,NC,NC,NC,NC,NC,NC,NC,NC,lesdeux.us,https://lesdeux.us/search?q=,NC,NC
Norse Projects,NC,NC,NC,NC,NC,NC,NC,NONE,norseprojects.com,https://www.norseprojects.com/search?q=,NC,NC
Vollebak,NC,NC,NC,NC,NC,NC,NC,NONE,vollebak.com,https://vollebak.com/search?q=,NC,NC
Stone Island,NC,NC,NC,NC,NC,NC,NC,NONE,stoneisland.com,https://www.stoneisland.com/en-us/search?q=,NC,NC
A Bathing Ape,NC,NC,NC,NC,NONE,NONE,NC,NC,us.bape.com,https://us.bape.com/search?q=,NC,NC
Canada Goose,NC,NC,NONE,NONE,NC,NC,NC,NONE,canadagoose.com,https://www.canadagoose.com/us/en/search?q=,NC,NC
Arc'teryx,NC,NC,NC,NONE,NC,NONE,NC,NONE,arcteryx.com,https://arcteryx.com/us/en/search?q=,NC,NC
