brand,tee_low,tee_low_product,tee_low_url,tee_high,tee_high_product,tee_high_url,tee_basis,polo_low,polo_low_product,polo_low_url,polo_high,polo_high_product,polo_high_url,polo_basis,dress_shirt_low,dress_shirt_low_product,dress_shirt_low_url,dress_shirt_high,dress_shirt_high_product,dress_shirt_high_url,dress_shirt_basis,jeans_low,jeans_low_product,jeans_low_url,jeans_high,jeans_high_product,jeans_high_url,jeans_basis,dress_pants_low,dress_pants_low_product,dress_pants_low_url,dress_pants_high,dress_pants_high_product,dress_pants_high_url,dress_pants_basis,sweater_low,sweater_low_product,sweater_low_url,sweater_high,sweater_high_product,sweater_high_url,sweater_basis,outerwear_low,outerwear_low_product,outerwear_low_url,outerwear_high,outerwear_high_product,outerwear_high_url,outerwear_basis,shoes_low,shoes_low_product,shoes_low_url,shoes_high,shoes_high_product,shoes_high_url,shoes_basis,store_used,currency,search_url,sublines_included,status,read_date,source,note
Levi's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,levi.com,NC,https://www.levi.com/US/en_US/search/,NC,NC,NC,NC,NC
Carhartt,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,carhartt.com,NC,NC,NC,NC,NC,NC,NC
Lacoste,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,lacoste.com,NC,https://www.lacoste.com/us/search?q=,NC,NC,NC,NC,NC
Mack Weldon,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,mackweldon.com,NC,https://mackweldon.com/search?q=,NC,NC,NC,NC,NC
Charles Tyrwhitt,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,charlestyrwhitt.com,NC,https://www.charlestyrwhitt.com/us/search?q=,NC,NC,NC,NC,NC
Son of a Tailor,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,sonofatailor.com,NC,NC,NC,NC,NC,NC,NC
Mott & Bow,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,mottandbow.com,NC,https://www.mottandbow.com/search?q=,NC,NC,NC,NC,NC
J.Crew,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,jcrew.com,NC,https://www.jcrew.com/search2?Ntrm=,NC,NC,NC,NC,NC
Banana Republic,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,bananarepublic.gap.com,NC,https://bananarepublic.gap.com/browse/search.do?searchText=,NC,NC,NC,NC,NC
Everlane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,everlane.com,NC,https://www.everlane.com/search?q=,NC,NC,NC,NC,NC
