brand,band,site_domain,platform,search_url_on_file,read_in_full_before,current_prices,range_slots,garment_links_on_file
Levi's,premium,levi.com,custom,https://www.levi.com/US/en_US/search/,no,"[[20, 35], [30, 65], [50, 80], [60, 295], [60, 90], [70, 295], [90, 1200], null]",,7
Carhartt,premium,carhartt.com,custom,,no,"[[20, 45], [28, 40], [45, 80], [50, 128], [45, 128], [95, 95], [100, 230], ""?""]",Sweater;Outerwear;Shoes,5
Lacoste,premium,lacoste.com,salesforce_commerce,https://www.lacoste.com/us/search?q=,no,"[[50, 70], [98, 125], [89, 210], null, [110, 155], [98, 240], [165, 450], [125, 125]]",Sweater;Outerwear,7
Mack Weldon,premium,mackweldon.com,shopify,https://mackweldon.com/search?q=,yes,"[[48, 98], [78, 218], [98, 138], [168, 168], [128, 138], [168, 238], [128, 258], null]",,6
Charles Tyrwhitt,premium,charlestyrwhitt.com,salesforce_commerce,https://www.charlestyrwhitt.com/us/search?q=,yes,"[[59, 59], [109, 119], [129, 139], [149, 149], [149, 230], [149, 149], [229, 599], [169, 399]]",,7
Son of a Tailor,premium,sonofatailor.com,custom,,yes,"[[75, 150], [230, 230], [195, 195], null, null, [195, 270], null, null]",,4
Mott & Bow,premium,mottandbow.com,shopify,https://www.mottandbow.com/search?q=,yes,"[[39, 67], [74, 89], [90, 110], [99, 149], [124, 124], [239, 239], [248, 995], null]",,6
J.Crew,premium,jcrew.com,custom,https://www.jcrew.com/search2?Ntrm=,no,"[[30, 45], [45, 98], [80, 120], [98, 148], [90, 150], [80, 298], [178, 898], [168, 450]]",,8
Banana Republic,premium,bananarepublic.gap.com,custom,https://bananarepublic.gap.com/browse/search.do?searchText=,no,"[[30, 50], [50, 80], [80, 120], [100, 140], [100, 150], [90, 160], [298, 598], [238, 238]]",,8
Everlane,premium,everlane.com,shopify,https://www.everlane.com/search?q=,no,"[[25, 40], [45, 60], [70, 90], [80, 120], [70, 100], [98, 198], [148, 348], ""?""]",Outerwear;Shoes,7
Alex Crane,premium,alexcrane.co,shopify,https://alexcrane.co/search?q=,yes,"[[62, 98], [96, 188], [96, 158], null, [228, 228], [118, 278], [131, 328], null]",,6
Industry of All Nations,premium,industryofallnations.com,shopify,https://industryofallnations.com/search?q=,no,"[[45, 60], [70, 90], [100, 130], [120, 160], [100, 140], [300, 380], [180, 595], [345, 345]]",Outerwear,0
Marine Layer,premium,marinelayer.com,shopify,https://www.marinelayer.com/search?q=,yes,"[[48, 88], [68, 158], [118, 168], [145, 145], [138, 138], [138, 178], [168, 498], null]",,6
Cuts Clothing,premium,cutsclothing.com,shopify,https://www.cutsclothing.com/search?q=,yes,"[[48, 98], [72, 88], [72, 98], null, [124, 124], null, [98, 275], null]",,5
Bonobos,premium,bonobos.com,custom,https://bonobos.com/search?q=,no,"[[35, 50], [60, 90], [90, 130], [100, 150], [100, 180], [99, 99], [199, 699], null]",,7
Vuori,premium,vuoriclothing.com,shopify,https://vuoriclothing.com/search?q=,yes,"[[58, 68], [68, 108], [98, 98], [198, 198], [98, 188], [77, 228], [98, 298], null]",,7
Rothy's,premium,rothys.com,shopify,https://rothys.com/search?q=,yes,"[null, null, null, null, null, null, null, [125, 185]]",,1
Lululemon,premium,shop.lululemon.com,salesforce_commerce,https://shop.lululemon.com/search?Ntt=,no,"[[58, 88], [88, 128], [88, 148], null, [118, 168], [128, 168], [138, 398], [128, 158]]",Sweater;Outerwear;Shoes,7
Alo,premium,aloyoga.com,shopify,https://www.aloyoga.com/search?q=,no,"[[58, 98], [68, 98], null, null, [108, 158], [188, 298], [138, 398], ""?""]",Outerwear;Shoes,5
Southern Tide,premium,southerntide.com,shopify,https://southerntide.com/search?q=,no,"[[40, 55], [70, 108], [100, 148], [110, 140], [100, 140], [158, 178], [168, 178], ""?""]",Sweater,7
Rhoback,premium,rhoback.com,shopify,https://rhoback.com/search?q=,no,"[[35, 50], [70, 90], null, null, [90, 120], [128, 194], [154, 248], null]",Sweater;Outerwear,5
Criquet,premium,criquetshirts.com,shopify,https://criquetshirts.com/search?q=,yes,"[[58, 98], [98, 158], [124, 168], null, [148, 148], null, [218, 349], null]",,5
Taylor Stitch,premium,taylorstitch.com,shopify,https://www.taylorstitch.com/search?q=,no,"[[40, 70], [80, 120], [120, 160], [140, 200], [120, 180], [178, 218], [198, 1248], null]",Sweater,7
Outerknown,premium,outerknown.com,shopify,https://www.outerknown.com/search?q=,no,"[[40, 60], [70, 100], [100, 150], [130, 200], [100, 160], [178, 348], [298, 298], null]",Sweater,7
Patagonia,premium,patagonia.com,salesforce_commerce,https://www.patagonia.com/search/?q=,no,"[[40, 55], [60, 90], [90, 140], [100, 150], [90, 140], [159, 209], [119, 899], ""?""]",Outerwear;Shoes,5
Finisterre,premium,finisterre.com,shopify,https://finisterre.com/search?q=,no,"[[40, 60], [60, 90], [100, 155], [100, 140], [90, 130], [160, 165], [125, 385], null]",Sweater;Outerwear,5
Faherty,premium,fahertybrand.com,shopify,https://fahertybrand.com/search?q=,no,"[[50, 70], [80, 120], [120, 160], [150, 200], [130, 180], [168, 398], [278, 1500], [228, 228]]",Sweater,8
Rodd & Gunn,premium,roddandgunn.com,salesforce_commerce,https://www.roddandgunn.com/search?q=,no,"[[60, 90], [80, 120], [90, 140], [128, 178], [110, 160], [128, 178], [199, 798], [148, 198]]",,8
Rowan,premium,forrowan.com,shopify,https://forrowan.com/search?q=,yes,"[[55, 105], [135, 135], [135, 195], [225, 250], [195, 235], ""?"", [175, 365], ""?""]",,4
Mizzen+Main,premium,mizzenandmain.com,shopify,https://www.mizzenandmain.com/search?q=,yes,"[[68, 68], [108, 138], [148, 168], [120, 160], [138, 158], [168, 248], [188, 328], null]",,6
State & Liberty,premium,stateandliberty.com,shopify,https://stateandliberty.com/search?q=,yes,"[[38, 72], [92, 108], [105, 150], [138, 138], [150, 245], [92, 250], [225, 285], null]",,7
Rhone,premium,rhone.com,custom,https://www.rhone.com/search?q=,yes,"[[54, 98], [88, 148], [108, 168], null, [148, 158], [118, 188], [178, 498], ""?""]",Outerwear,6
J.Lindeberg,premium,www.jlindebergusa.com,shopify,https://www.jlindebergusa.com/search?q=,yes,"[[50, 130], [90, 225], [165, 165], [215, 235], [130, 210], [145, 325], [175, 830], ""?""]",Shoes;Outerwear;Sweater,7
TravisMathew,premium,travismathew.com,shopify,https://www.travismathew.com/search?q=,yes,"[[39, 64], [89, 109], [99, 119], [189, 189], [129, 149], [139, 159], [129, 399], [119, 249]]",,7
Malbon,premium,malbon.com,shopify,https://malbon.com/search?q=,yes,"[[58, 128], [108, 268], [168, 168], null, [148, 278], [198, 348], [168, 498], [198, 228]]",,6
Redvanly,premium,redvanly.com,shopify,https://www.redvanly.com/search?q=,yes,"[[70, 75], [95, 110], null, [185, 185], [150, 185], [225, 225], [150, 325], ""?""]",,6
RLX,premium,ralphlauren.com,salesforce_commerce,https://www.ralphlauren.com/search?q=,no,"[[70, 98], [98, 148], null, null, [128, 188], [330, 430], [265, 400], null]",Sweater;Outerwear,5
johnnie-O,premium,johnnie-o.com,shopify,https://www.johnnie-o.com/search?q=,no,"[[40, 60], [75, 115], [100, 145], [110, 165], [100, 150], [198, 198], [248, 998], [198, 248]]",Sweater,8
Percival,premium,percivalclo.com,shopify,https://www.percivalclo.com/search?q=,no,"[[50, 75], [90, 140], [110, 160], [130, 180], [120, 170], [210, 320], [255, 730, ""USD_landed""], null]",,7
Wax London,premium,waxlondon.com,shopify,https://www.waxlondon.com/search?q=,yes,"[[70, 85], [85, 260], [150, 215], [185, 330], [165, 225], [235, 270], [220, 825], null]",,7
Hiroshi Kato,premium,kato-brand.com,shopify,,no,"[[60, 90], [90, 130], [120, 180], [240, 320], [160, 220], null, [358, 458], null]",Outerwear,5
Sugar Cane,premium,sugarcane.jp,custom,https://www.selfedge.com/sugar-cane?q=,yes,"[[8690, 15180, ""JPY""], null, [11880, 29480, ""JPY""], [18480, 32780, ""JPY""], null, null, [25300, 275000, ""JPY""], null]",,0
Buck Mason,premium,buckmason.com,shopify,https://www.buckmason.com/search?q=,no,"[[48, 118], [88, 198], [128, 228], [198, 278], [178, 298], [178, 368], [298, 798], null]",,7
