brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Levi's,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Carhartt,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Lacoste,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
J.Crew,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Banana Republic,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Everlane,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Industry of All Nations,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Bonobos,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rothy's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Lululemon,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Alo,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Southern Tide,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rhoback,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Taylor Stitch,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Outerknown,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Patagonia,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Finisterre,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Faherty,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rodd & Gunn,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rowan,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Rhone,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,SKIP,SKIP,NC,SKIP,NC,NC,NC,NC,NC
J.Lindeberg,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Malbon,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Redvanly,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
RLX,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
johnnie-O,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Percival,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Hiroshi Kato,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Sugar Cane,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Buck Mason,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Duck Head,SKIP,SKIP,SKIP,SKIP,NC,NC,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Wythe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
AYR,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Alex Mill,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Easy Mondays,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Indochino,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Tecovas,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Patrick James,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Barbour,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Baracuta,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Filson,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
James Perse,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Y.Chroma,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Madhappy,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Kith,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Aimé Leon Dore,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Massimo Dutti,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Vineyard Vines,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Polo Ralph Lauren,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
RRL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
J.McLaughlin,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Peter Millar,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Ted Baker,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Scotch & Soda,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
NN07,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Samsøe Samsøe,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Les Deux,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Norse Projects,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Vollebak,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Stone Island,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
A Bathing Ape,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Canada Goose,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Arc'teryx,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Vince,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Rails,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Club Monaco,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
PAIGE,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
AG,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Ksubi,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Purple,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Diesel,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Citizens of Humanity,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
AGOLDE,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Fidelity Denim,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Joe's Jeans,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Suitsupply,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Boggi Milano,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Hackett,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Rakho,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,SKIP,SKIP,NC,NC,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Eleventy,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Borgo28,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Incotex,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Brooks Brothers,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
J.Press,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Sunspel,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Saint James,SKIP,SKIP,SKIP,SKIP,NC,NC,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Merz b. Schwanen,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC
Margaret Howell,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Reiss,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
Isabel Marant,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,NC,NC,NC,SKIP,NC,NC,NC,NC,NC
