brand,open_slots,site_domain,platform,has_search_url
Levi's,Sweater; Outerwear; Shoes,levi.com,custom,yes
Carhartt,Sweater; Outerwear; Shoes,carhartt.com,custom,yes
Lacoste,Sweater; Outerwear; Shoes,lacoste.com,salesforce_commerce,yes
J.Crew,Sweater; Outerwear; Shoes,jcrew.com,custom,yes
Banana Republic,Sweater; Outerwear; Shoes,bananarepublic.gap.com,custom,yes
Everlane,Sweater; Outerwear; Shoes,everlane.com,shopify,yes
Industry of All Nations,Sweater; Outerwear; Shoes,industryofallnations.com,shopify,yes
Bonobos,Sweater; Outerwear; Shoes,bonobos.com,custom,yes
Rothy's,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,rothys.com,shopify,yes
Lululemon,Sweater; Outerwear; Shoes,shop.lululemon.com,salesforce_commerce,yes
Alo,Sweater; Outerwear; Shoes,aloyoga.com,shopify,yes
Southern Tide,Sweater; Outerwear; Shoes,southerntide.com,shopify,yes
Rhoback,Sweater; Outerwear; Shoes,rhoback.com,shopify,yes
Taylor Stitch,Sweater; Outerwear; Shoes,taylorstitch.com,shopify,yes
Outerknown,Sweater; Outerwear; Shoes,outerknown.com,shopify,yes
Patagonia,Sweater; Outerwear; Shoes,patagonia.com,salesforce_commerce,yes
Finisterre,Sweater; Outerwear; Shoes,finisterre.com,shopify,yes
Faherty,Sweater; Outerwear; Shoes,fahertybrand.com,shopify,yes
Rodd & Gunn,Sweater; Outerwear; Shoes,roddandgunn.com,salesforce_commerce,yes
Rowan,— (search URL only),forrowan.com,shopify,no
Rhone,Outerwear,rhone.com,custom,yes
J.Lindeberg,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,jlindeberg.com,shopify,no
Malbon,— (search URL only),malbon.com,shopify,no
Redvanly,— (search URL only),redvanly.com,shopify,no
RLX,Sweater; Outerwear; Shoes,ralphlauren.com,salesforce_commerce,yes
johnnie-O,Sweater; Outerwear; Shoes,johnnie-o.com,shopify,yes
Percival,Sweater; Outerwear; Shoes,percivalclo.com,shopify,yes
Hiroshi Kato,Sweater; Outerwear; Shoes,kato-brand.com,shopify,yes
Sugar Cane,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,sugarcane.jp,custom,yes
Buck Mason,Sweater; Outerwear; Shoes,buckmason.com,shopify,yes
Duck Head,Dress shirt,www.duckhead.com,shopify,no
Wythe,Tee; Polo; Dress shirt; Jeans; Dress pants; Sweater; Outerwear; Shoes,wythe.com,shopify,yes
AYR,Sweater; Outerwear; Shoes,ayr.com,shopify,yes
Alex Mill,Sweater; Outerwear; Shoes,alexmill.com,shopify,yes
Easy Mondays,— (search URL only),easymondays.ca,shopify,no
Indochino,— (search URL only),indochino.com,custom,no
Tecovas,Sweater; Outerwear; Shoes,tecovas.com,shopify,yes
Patrick James,Sweater; Outerwear; Shoes,patrickjames.com,shopify,yes
Barbour,Shoes,barbour.com,salesforce_commerce,yes
Baracuta,Sweater; Outerwear; Shoes,baracuta.com,shopify,yes
Filson,Sweater; Outerwear; Shoes,filson.com,shopify,yes
James Perse,Sweater; Outerwear; Shoes,jamesperse.com,shopify,yes
Y.Chroma,Sweater; Outerwear; Shoes,ychroma.com,shopify,yes
Madhappy,Sweater; Outerwear; Shoes,madhappy.com,shopify,yes
Kith,Sweater; Outerwear; Shoes,kith.com,shopify,yes
Aimé Leon Dore,Sweater; Outerwear; Shoes,aimeleondore.com,shopify,yes
Massimo Dutti,Sweater; Outerwear; Shoes,massimodutti.com,custom,yes
Vineyard Vines,Sweater; Outerwear; Shoes,vineyardvines.com,salesforce_commerce,yes
Polo Ralph Lauren,Sweater; Outerwear; Shoes,ralphlauren.com,salesforce_commerce,yes
RRL,Sweater; Outerwear; Shoes,ralphlauren.com,salesforce_commerce,yes
