brand_as_listed,canonical_key,gender_at_shop,verdict,origin_country,origin_city,founded,own_store,price_basis,tee_or_knit_price,one_line,source,note
Autumn Cashmere,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Avant Toi,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Belstaff,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Golden Goose,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Mason's,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Nicoby,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Ploumanac'h,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Robert Graham,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Transit,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
True Grit,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
Velvet by Graham & Spencer,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
William Henry,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC
