brand,tee_url,polo_url,dress_shirt_url,jeans_url,dress_pants_url,sweater_url,outerwear_url,shoes_url,site_domain,search_url_on_file,source,note
Levi's,https://www.levi.com/US/en_US/clothing/men/shirts/basic-t-shirts/c/levi_clothing_men_basic_t_shirts,https://www.levi.com/US/en_US/clothing/men/shirts/henleys-polos/c/levi_clothing_men_henleys_polo_shirts,https://www.levi.com/US/en_US/clothing/men/shirts/button-up-shirts/c/levi_clothing_men_button_up_shirts,https://www.levi.com/US/en_US/clothing/men/jeans/c/levi_clothing_men_jeans,https://www.levi.com/US/en_US/clothing/men/pants/chino-pants/c/levi_clothing_chino_pants_us,https://www.levi.com/US/en_US/clothing/men/sweaters-sweatshirts/c/levi_clothing_men_sweaters_sweatshirts,https://www.levi.com/US/en_US/clothing/men/outerwear/c/levi_clothing_men_outerwear,NONE,levi.com,https://www.levi.com/US/en_US/search/,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.levi.com","Routes: cat 5, parent 2. US store www.levi.com/US/en_US, SPA renders tiles slowly (~8s). Path-based facet URLs (/facets/productitemtype/x) are NOT stable - redirect to unfiltered parent; used real subcategory slugs from on-page chips. search/<q> works (not gender-filtered). Shoes skipped (NONE). tee (cat): Nav subcategory 'T-Shirts' under Men's Shirts (graphic tees are a separate subcat). Includes LS thermals || polo (parent): Nav label 'Polo Shirts' but category is henleys & polos, includes rugbys/knit camp shirts || dress_shirt (cat): No dress-shirt category; button-up shirts used (casual, includes short-sleeve) || dress_pants (cat): No dress pants; 'Chino Pants' subcat of Men's Pants & Chinos (includes twill/dobby 5-pocket 'jeans' and a cargo). Parent alt: /clo || sweater (parent): Only Sweaters, Sweatshirts & Hoodies parent exists; first two rows are sweatshirts, sweaters appear lower. Sweaters sub-slug levi_ || outerwear (cat): Jackets, Coats & Outerwear (incl. vests)"
Carhartt,https://www.carhartt.com/c/men-t-shirt,https://www.carhartt.com/c/men-polos,https://www.carhartt.com/c/men-shirts-buttons-down,https://www.carhartt.com/c/men-jeans,NC,NC,https://www.carhartt.com/c/men-outerwear,NONE,carhartt.com,https://www.carhartt.com/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.carhartt.com","Routes: cat 5, NC 2. US store www.carhartt.com. search_url_on_file /search?q= renders an empty page; the working search URL is https://www.carhartt.com/search/<query>. Product slugs lack gender; verified men's via /c/men-* nav categories. Shoes skipped (NONE). tee (cat): Nav 'T-Shirts' shop-all; includes henley tees and LS tees || polo (cat): Nav category, live but small (3 products) || dress_shirt (cat): No dress shirts; 'Button Down Work Shirts' category used (work/flannel button-ups, some shirt jacs mixed in) || dress_pants NC: Appears not to make dress pants/chinos/trousers - workwear only (dungarees, carpenter, cargo, duck). Men's pants parent if coordin || sweater NC: No men's sweater/knitwear category (/c/men-sweaters = 404); nav only has Hoodies & Sweatshirts (/c/men-hoodies-sweatshirts). Brand || outerwear (cat): Outerwear & Jackets (incl. vests/rain). Alt coats-only: /c/men-coats-jackets"
Lacoste,https://www.lacoste.com/us/lacoste/men/clothing/t-shirts/,https://www.lacoste.com/us/lacoste/men/clothing/polos/,https://www.lacoste.com/us/lacoste/men/clothing/button-down-shirts/,NONE,https://www.lacoste.com/us/lacoste/men/clothing/pants-sweatpants/trousers/,https://www.lacoste.com/us/lacoste/men/clothing/sweaters/,https://www.lacoste.com/us/lacoste/men/clothing/jackets-coats/,https://www.lacoste.com/us/lacoste/men/shoes/,lacoste.com,https://www.lacoste.com/us/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.lacoste.com","Routes: cat 7. US store www.lacoste.com/us. Product URLs embed /men/ path, used to confirm gender. /us/ root landed on /us/men.html in this browser (remembered gender pref). Jeans skipped (NONE) though a men's jeans subcat exists: /us/lacoste/men/clothing/pants-sweatpants/jeans/. search?q= works. dress_shirt (cat): No dress-shirt category; button-down shirts used (casual; includes overshirts) || dress_pants (cat): No dress-pants category; 'Trousers' subcat of Pants & Sweatpants (chinos/twill/golf pants; 2 denim items mixed in at tiles 3-4) || sweater (cat): All knitwear (sweatshirts are a separate category) || outerwear (cat): Jackets & coats (includes track jackets and a vest) || shoes (cat): Men's shoes parent (sneakers dominate; subcats sneakers/slides/boots-loafers/performance)"
Mack Weldon,https://mackweldon.com/collections/t-shirts,https://mackweldon.com/collections/polos,https://mackweldon.com/collections/button-ups,NC,https://mackweldon.com/collections/pants,https://mackweldon.com/collections/sweaters,https://mackweldon.com/collections/outerwear,NONE,mackweldon.com,https://mackweldon.com/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: mackweldon.com","Routes: coll 5, NC 1, parent 1. Men's-only brand (Shopify, US). No store_used on file; mackweldon.com is the store. search?q= works but results are loose/fuzzy. Shoes skipped (NONE). tee (coll): Men's-only brand; includes LS tees/henleys further in || polo (coll): Includes sweater polos and a camp shirt || dress_shirt (coll): No dress-shirt category; button-ups used (casual; first tile is a corduroy zip jacket) || jeans NC: No jeans/denim collection (collections.json has none); brand sells only 2 jeans, filed in /collections/pants. Search is 2 jeans th || dress_pants (parent): No dress pants/chino collection; all-pants parent dominated by sweatpants, chinos (Stretch Twill Chino x2, Maverick Tech Chino) mi || sweater (coll): All knitwear (incl. sweater polos, knit hoodie) || outerwear (coll): Includes blazers, vests, fleece"
Charles Tyrwhitt,https://www.charlestyrwhitt.com/us/mens-shirts/t-shirts/,https://www.charlestyrwhitt.com/us/mens-shirts/polo-shirts/,https://www.charlestyrwhitt.com/us/mens-shirts/dress/,NC,https://www.charlestyrwhitt.com/us/mens-pants/smart-pants/,https://www.charlestyrwhitt.com/us/mens-sweaters/,https://www.charlestyrwhitt.com/us/mens-coats/,https://www.charlestyrwhitt.com/us/mens-shoes/,charlestyrwhitt.com,https://www.charlestyrwhitt.com/us/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.charlestyrwhitt.com","Routes: cat 7, NC 1. Men's-only brand in US store (no women's links found), www.charlestyrwhitt.com/us, SFCC. search?q= works but keyword-redirects to categories (jeans -> casual-pants). tee (cat): T-shirts category mixes in 2-pack undershirts (3 of first 8) || polo (cat): Leads with knitted polos || jeans NC: No jeans category (/us/mens-pants/jeans/ redirects home); brand sells a single 'Denim Jeans' style in Casual Pants among 5-pocket  || dress_pants (cat): Page title 'Men's Dress Pants & Smart Pants'; includes non-iron chinos. Alt suit pants: /us/mens-suits/pants/ || sweater (cat): All knitwear || outerwear (cat): Coats & jackets (incl. vests). Nav parent /us/mens-jackets-and-coats/ is mostly blazers/sport jackets and overshirts, so coats pag"
Son of a Tailor,https://www.sonofatailor.com/products/t-shirts,https://www.sonofatailor.com/products/polo-shirts,https://www.sonofatailor.com/products/shirts,NONE,NONE,https://www.sonofatailor.com/products/knitwear,NONE,NONE,sonofatailor.com,https://www.sonofatailor.com/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.sonofatailor.com","Routes: cat 4. Men's-only brand, single global site showing USD prices (no /us path). Categories live at /products/<cat> (nav: All Garments -> /products). search?q= returns 'Page Not Found' - dead. Jeans/dress pants/outerwear/shoes skipped (NONE). tee (cat): Men's-only brand; made-to-order || polo (cat): Includes knit polo pullovers || dress_shirt (cat): No dress-shirt category; 'Shirts' (button-ups incl. poplin/oxford) used"
Mott & Bow,https://www.mottandbow.com/collections/mens-tees,https://www.mottandbow.com/collections/mens-polo-t-shirts,NC,https://www.mottandbow.com/collections/mens-jeans,https://www.mottandbow.com/collections/pants-and-chinos-for-men,https://www.mottandbow.com/collections/mens-sweaters,https://www.mottandbow.com/collections/mens-jackets,NONE,mottandbow.com,https://www.mottandbow.com/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.mottandbow.com","Routes: coll 6, NC 1. Shopify, US store, no redirect. Men's collections are clean (products tagged gender_Male). No dress shirts/button-ups at all. 'Early Access - Fleece Crew' promo tile injected into several listings. search?q= loads (search page). tee (coll): Mixed tees + henley + polos + bundles; long-sleeve tees are a separate collection. 'Early Access - Fleece Crew' promo tile appears || polo (coll): First tile is an outfit bundle. || dress_shirt NC: appears not to make || dress_pants (coll): No dress pants; chinos/pants collection (includes tech pants, jogger, bundles). || sweater (coll): Small collection (~8 tiles). || outerwear (coll): Small collection (5 jackets + promo tile)."
J.Crew,https://www.jcrew.com/plp/mens/categories/clothing/tshirts-and-polos/t-shirts,https://www.jcrew.com/plp/mens/categories/clothing/tshirts-and-polos/polos,https://www.jcrew.com/plp/mens/categories/clothing/dress-shirts,https://www.jcrew.com/plp/mens/categories/clothing/jeans,https://www.jcrew.com/plp/mens/categories/clothing/pants-and-chinos,https://www.jcrew.com/plp/mens/categories/clothing/sweaters,https://www.jcrew.com/plp/mens/categories/clothing/coats-and-jackets,https://www.jcrew.com/plp/mens/categories/shoes,jcrew.com,https://www.jcrew.com/search2?Ntrm=,"Live read in Chrome 2026-09-19 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json / /products/<h>.js where Shopify. Store root https://www.jcrew.com","Route: men's category pages (/plp/mens/categories/...), all 8. Domain correct (www.). tee and polo are clean sub-category paths under 'T-shirts & polos' (nav links them via ?sub-categories facet; paths load fresh with own H1, 51 and 26 items) - not taken from nav directly. dress_pants = pants-and-chinos (no dress-pants cat, mixed). J.Crew merchandises unisex items in men's cats (1988 Rollneck, Eckhaus Latta collab, Barn Jacket; PDPs under /p/womens/ but 'sizes listed are men's'): one in first 8 tiles of tee, dress_pants, sweater - passed under ruling 1. Tee first 8 also include one button-down."
Banana Republic,https://bananarepublic.gap.com/browse/men/t-shirts?cid=80117,https://bananarepublic.gap.com/browse/men/polos?cid=10894,https://bananarepublic.gap.com/browse/men/dress-shirts?cid=44866,https://bananarepublic.gap.com/browse/men/jeans?cid=5389,https://bananarepublic.gap.com/browse/men/dress-pants?cid=1072457,https://bananarepublic.gap.com/browse/men/sweaters?cid=28660,https://bananarepublic.gap.com/browse/men/coats-and-jackets?cid=1016720,https://bananarepublic.gap.com/browse/men/shoes?cid=1032801,bananarepublic.gap.com,https://bananarepublic.gap.com/browse/search.do?searchText=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: bananarepublic.gap.com","Routes: cat 8. US store, no redirect. Gap platform: URLs need ?cid= (essential). Mega-menu hrefs are not in DOM on homepage; used men's shop-all side nav. Tiles render client-side (wait ~4s). search.do?searchText= loads (0 results for empty query) - not dead. tee (cat): cid param is essential (Gap platform). Includes henleys. Page shows a 'Men' department chip by default (added as #department hash, || polo (cat): First rows are dominated by sweater polos (knit) plus a rugby; category also has Luxury-Touch/short-sleeve subcats. || dress_shirt (cat): Tiles render slowly (client-side); needed ~4s wait. || outerwear (cat): Includes shirt jackets/overshirts subgroup. || shoes (cat): Includes third-party Alohas sneakers (likely unisex, sold in men's)."
Everlane,https://www.everlane.com/collections/mens-tshirts,https://www.everlane.com/collections/mens-polo-shirts,https://www.everlane.com/collections/mens-shirt-shop,https://www.everlane.com/collections/mens-jeans,https://www.everlane.com/collections/mens-chinos-khakis,https://www.everlane.com/collections/mens-sweaters,https://www.everlane.com/collections/mens-outerwear-coats,NONE,everlane.com,https://www.everlane.com/search?q=,"Live read in Chrome 2026-09-21 (US store, no login): each URL loaded fresh, first 8-10 tiles read; Shopify tags via products.json/products/<h>.js where applicable. Store root seen: www.everlane.com","Routes: coll 5, parent 2. Shopify, US store, no redirect. Tiles render client-side (wait 2-3s). Everlane merchandises cross-category items (polos in tee and shirt collections). No dress-shirt or dress-pants categories: shirt shop (H1 'Men's Dress Shirts') and chinos/khakis used as parent. search?q= loads. tee (coll): Mostly tees but merchandised with a polo, tank and rugby in first 8. Tiles load client-side (~3s). || polo (coll): Includes rugbys and sweater polos. || dress_shirt (parent): No true dress-shirt category; this is the button-up shirt shop (oxfords, poplin, linen, cord) despite the H1, and it also merchand || dress_pants (parent): No dress-pants category; this is the only pants link in men's nav (chinos/trousers, includes a jogger). || outerwear (coll): Includes a blazer and overshirts."
