brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Levi's,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,70,295,90,625,NONE,NONE,Shoes,SKIP,https://www.levi.com/US/en_US,USD,complete,https://www.levi.com/US/en_US/clothing/men/sweaters-sweatshirts/c/levi_clothing_men_sweaters_sweatshirts | https://www.levi.com/US/en_US/clothing/men/sweaters-sweatshirts/c/levi_clothing_men_sweaters_sweatshirts/facets/productitemtype/sweaters | https://www.levi.com/US/en_US/blue-tab/wool-cashmere-blend-sweater/p/008PX0000 | https://www.levi.com/US/en_US/clothing/men/outerwear/c/levi_clothing_men_outerwear | https://www.levi.com/US/en_US/search/mens%20trucker%20jacket | https://www.levi.com/US/en_US/search/leather%20jacket | https://www.levi.com/US/en_US/search/suede | https://www.levi.com/US/en_US/search/loafer | https://www.levi.com/US/en_US/search/sneakers | https://www.levi.com/US/en_US/search/boots,"Storefront only (custom React site, slow; facet pages intermittently fail with Something went wrong). Sweater: men's Sweaters facet 25 items. Low = Red Tab Crewneck Sweater and Alamo Crewneck Sweater, original price $69.50 each (both currently on sale/warehouse sale; rounded to 70); Carmel Cable Crew Sweater original $99. High = LEVI'S BLUE TAB Wool Cashmere Blend Sweater $295 full price (70% wool/30% cashmere, crewneck) - Blue Tab is Levi's own elevated line sold on levi.com, treated as main-line; flag if Blue Tab should count as a sub-line. Outerwear: trucker style - low Trucker Jacket regular $89.95 (Big and Tall versions at $89.95 full price; standard-size colours show original $89.95 on sale while newer colourways list at $110; rounded to 90), high LEVI'S PREMIUM Type I Leather Trucker Jacket $625 (only men's genuine-leather jacket found; suede items are faux suede, sherpa is not shearling). LVC 1953/1961 selvedge truckers ($405-425) are denim, not elevated. Men's outerwear category states 194 items but only ~40 tiles render, so category read via searches. Shoes NONE: searches for loafer, sneakers and boots return no footwear on the US site."
Carhartt,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,95,95,100,230,95,260,-,SKIP,https://www.carhartt.com,USD,complete,https://www.carhartt.com/c/men-footwear | https://www.carhartt.com/c/men-slipon-footwear | https://www.carhartt.com/c/men-outerwear | https://www.carhartt.com/search?q=sweater | https://www.carhartt.com/product/106378/wayland-sweater,"range sweater, outerwear, shoes | SAP storefront; prices read from the page's embedded search state (msrpRange = regular, USD) across all result pages. Prices vary by size (regular vs big/tall), so per spec regular = top of msrp range. range sweater: no knit crewneck sweater; site search for sweater returns 1 product, Wayland Sweater (sweater-fleece quarter-zip pullover) $84.99-$94.99, so low=high=95 (94.99 rounded; $84.99 in regular sizes) - arguably NONE if sweater-fleece should not count. range outerwear: men's outerwear 78 items, no leather/suede/shearling/cashmere jackets; excluding vests, bibs, overalls, coveralls and pants: low Bayou Jacket $89.99-$99.99 (-> 100), high Yukon Extremes Traditional Coat $209.99-$229.99 (-> 230); flame-resistant FR line runs higher (FR Quick Duck Coat $299.99-$329.99) but treated as PPE, not main-line. range shoes: no loafer (slip-ons are Chelsea/wedge boots); men's footwear 122 items excluding insoles: low Detroit Lined Slip On and Greenfield Sneaker $94.99 (-> 95; Detroit Canvas Mid Slip On Sneaker $89.99-$99.99), high Yukon Pac Waterproof Insulated 10in Composite Toe Pac Boot $259.99 (-> 260)."
Lacoste,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,98,350,165,580,125,125,-,SKIP,https://www.lacoste.com/us,USD,complete,https://www.lacoste.com/us/lacoste/men/clothing/sweaters/ | https://www.lacoste.com/us/lacoste/men/clothing/sweaters-sweatshirts/AH2193-51.html | https://www.lacoste.com/us/lacoste/men/clothing/jackets-coats/ | https://www.lacoste.com/us/lacoste/men/shoes/,"range sweater, outerwear | Category pages read via ?page=N (sweaters 99 results, jackets 87, shoes 271 - all tiles captured). range sweater: cheapest crewneck is Crew Neck Cotton Sweater AH2193 $98 full price (PDP shows $98; 100% cotton), but no cashmere crewneck exists (wool crews: Merino Wool Crew Neck $160, Wool Crew Neck $210, Wool Blend Crew Neck Tennis Heritage $240), so plain range of men's sweaters: low $98, high Cashmere Polo Collar Sweater $350; Runway pieces (up to $620) and Lacy Striped Pique Sweater Vest $390 excluded. range outerwear: no leather/suede/shearling/cashmere jackets; men's jackets and coats excluding vests, blazers, Runway and Djokovic/collab pieces: low Water-Repellent Sport Track Jacket $165, high Water-Repellent Plaid Trench Coat regular $580 (Final Sale at 50% off; Wool Varsity Jacket $475, Water-Repellent Puffer Jacket $450 at full price). Shoes: only loafer is Men's Cochet Suede Loafers $125 (6 colours)."
J.Crew,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,80,298,178,898,168,450,-,SKIP,https://www.jcrew.com,USD,complete,https://www.jcrew.com/plp/mens/categories/clothing/sweaters/crewneck | https://www.jcrew.com/plp/mens/categories/clothing/coats-and-jackets | https://www.jcrew.com/plp/mens/categories/shoes,"Carried from the 18 Sep pilot, not re-read. Sweater: Pima cotton crewneck 79.50 (rounded to 80) -> Cashmere cable-knit sweater 298 (core Cashmere crewneck 158 classic/178 tall). Collabs excluded ('47, Eckhaus Latta). Outerwear: Harrington jacket in cotton twill 178 -> Harrington jacket in Italian suede 898. Page states 39 items. Shoes (loafer staple, own-label): Camden leather loafer 168 -> Essex loafer 450. Alden for J.Crew (708-1020) excluded as made by Alden; Paraboot, Red Wing etc. stocked."
Banana Republic,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,90,160,298,598,238,238,-,SKIP,https://bananarepublic.gap.com,USD,complete,https://bananarepublic.gap.com/browse/category.do?cid=28660 | https://bananarepublic.gap.com/browse/men/coats-and-jackets?cid=1016720 | https://bananarepublic.gap.com/browse/search.do?searchText=trucker%20jacket | https://bananarepublic.gap.com/browse/men/shoes?cid=1032801,"Storefront tiles read (Friends and Family 40% off applied at checkout only; tile shows full price, strike-through where marked down). Sweater: Crew Neck filter 34 results - low Merino Crew-Neck Sweater $90, high Cashmere Crew-Neck Sweater $160 (Marled Italian Cotton-Cashmere Crew-Neck also $160); Cashmere filter (22 results) has no dearer crewneck. Outerwear: coats and jackets 55 results (54 tiles read). Bomber pair - low Herringbone Reversible Quilted Bomber Jacket $298, high Suede Bomber Jacket with Quilted Lining $598. Alternatives: trucker has an entry version only as Archive Reissue Trucker Jacket $198 (reissue capsule, excluded as limited) vs Suede/Nubuck/Leather Trucker $550-650; barn coat pair $348 cotton canvas / $900 suede. Shoes: men's shoes 32 results; loafers are Leather Penny Loafer, Leather Moc-Toe Loafer and Italian Suede Loafer all $238; Italian Leather Moc-Toe Derby Loafer $240 is a lace-up derby, excluded (would make high 240). Third-party Alohas, Clarks Originals, Jacques Soloviere shoes excluded."
Everlane,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,98,198,148,398,148,148,-,SKIP,https://www.everlane.com,USD,complete,https://www.everlane.com/collections/mens-sweaters | https://www.everlane.com/collections/mens-sweaters/products.json | https://www.everlane.com/collections/mens-outerwear-coats/products.json | https://www.everlane.com/collections/mens-shoes | https://www.everlane.com/collections/mens-shoes/products.json,"range outerwear, shoes | Men's only, available items. Sweater low = The No-Sweat Sweater (cotton crew) $98 full price; high = Midweight Cashmere Crew $198 full price (The Cashmere Crew $148). range outerwear: no men's jacket style offered in both entry and suede/leather/shearling/cashmere, so plain regular range: low Relaxed Barn Jacket $148 full price, high ReWool Car Coat regular $398 (currently marked down to $119); blazers and Denim Shacket excluded. range shoes: no loafer; only men's shoes are The Court Sneaker $148 and The Tread-Bare Sneaker $148 (storefront shows $148, matching feed). Site banner: Same quality. Same styles. Better prices - Everlane has repriced, so some compare_at values may be superseded old list prices rather than true markdowns. Storefront also teases an Italian-made loafer collection launching 9.23 (not yet priced). 74 products stated on men's sweaters page; used collection feed filtered to available."
Industry of All Nations,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,300,380,180,745,345,345,-,SKIP,https://industryofallnations.com,USD,complete,https://industryofallnations.com/products.json | https://industryofallnations.com/collections/mens-1/products.json | https://industryofallnations.com/collections/shoes/products.json | https://industryofallnations.com/products/alpaca-raglan-sweater | https://industryofallnations.com/products/portenos-saddle-loafers,"range outerwear | Prices vary by colour (undyed vs dyed); per spec regular = max across variants. Sweater: entry fibre is already alpaca, so high = dearest regular crewneck. Low = Alpaca Crewneck Sweater $300 max variant ($280 in White/Tabaquin undyed); high = Alpaca Raglan Sweater (crew neck, 100% alpaca waffle) $380 max variant ($360 White, shown on storefront, matches feed); Comfort Sweater (alpaca/pima) $310 in between. range outerwear: no jacket style in both entry and suede/leather/shearling/cashmere (only corduroy versions of Ponya/Kamaleon), so plain range excluding Clean Blazer and Alpaca Shirt Jacket: low Ponya Jacket $180 max variant ($160 undyed), high Andes Coat regular $745 (currently $495). Shoes: Men's Porteños Loafer $345 all sizes, only men's shoe; vendor field is Calzados Correa (Buenos Aires workshop) but IOAN's model is maker-partner production developed by IOAN and sold under IOAN, treated as own-label - flag if Correa branding is on the shoe. Men's items identified via mens-1 collection."
Bonobos,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,99,250,139,299,NONE,NONE,Shoes,SKIP,https://bonobos.com,USD,complete,https://bonobos.com/collections/sweaters/products.json | https://bonobos.com/collections/outerwear/products.json | https://bonobos.com/products.json,"Batch lists platform custom but bonobos.com is now Shopify (Shopify.currency USD rate 1.0). Sweater: low Washable Merino Crew Neck Sweater $99 (many colours at full price $99, some marked down to $59); high Cashmere Crew Neck Sweater and Italian Cashmere Crew Neck Sweater regular $250 (both currently marked down, $169 and $119). Outerwear: chore jacket pair - low The Beau Chore Jacket $139 (cotton), high Wool Cashmere Chore Jacket $299 (wool-cashmere blend, the only elevated version of that style). If a chore jacket is treated as a shirt-jacket, the bomber pair applies instead: The Boulevard Bomber $189-199 entry vs The Suede Bomber Jacket $499 and The Bowery Leather Bomber $699. Shoes NONE: 3182 products in feed, no footwear product type or shoe titles."
Rothy's,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,125,185,Tee;Polo;Dress shirt;Jeans;Dress pants;Sweater;Outerwear,SKIP,https://rothys.com,USD,complete,https://rothys.com/products.json | https://rothys.com/collections/mens-loafers | https://rothys.com/collections/mens-loafers/products.json | https://rothys.com/collections/mens-shoes/products.json,"Rothy's sells footwear and bags only; full catalogue feed (667 products, 77 product types) has no apparel types, so all garment cells NONE (verified). Shoes: men's loafers (24 products stated on page, 24 in feed): low The Men's Cruiser Loafer regular $125 (some colours currently marked down), The Men's Daily Driver $150 (storefront shows $150, matches feed), high The Ravello Loafer and The Ravello Penny Loafer $185. Other men's shoes (Oxford $185, Clog $160, RS01 Sneaker $160, Court Sneaker $150) not loafers."
Lululemon,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,128,168,138,398,58,168,-,SKIP,https://shop.lululemon.com,USD,complete,https://shop.lululemon.com/search?Ntt=mens%20sweater | https://shop.lululemon.com/search?Ntt=sweater | https://shop.lululemon.com/c/men-coats-and-jackets/n1h1v9 | https://shop.lululemon.com/c/men-shoes/n1n4fcznrqw,"range sweater, outerwear, shoes | Storefront tiles (US, USD). range sweater: only men's knit crewneck is Cotton-Blend Knit Long-Sleeve Crewneck Sweater $128 and there is no cashmere/elevated-fibre crewneck; men's knit sweaters are that crew, Cotton-Blend Knit Collared Cardigan (regular $148) and Cotton-Blend Knit Full-Zip Sweater (regular $168), so low 128, high 168. range outerwear: coats and jackets 72 products (71 rendered after View More), no leather/suede/shearling/cashmere; excluding vests and a golf V-neck pullover: low Zeroed In Track Jacket $138, high Men's Featherweight Stand-Neck Quilted Puffer $398 (Wunder Puff Jacket and Reversible 600-Down-Fill Bomber $348). range shoes: 14 men's shoes, no loafer: low Men's Restfeel Slide $58, high Men's Wildfeel Trail Running Shoe and Beyondfeel Waterproof Running Shoe $168 (ZenMode Mule $158, SwayDay Mule $128)."
