brand,denominator,unit,names_technology_n,names_technology_pct,claim_only_pct,majority_synthetic_pct,coverage,source_file,styles_denominator,styles_basis,pct_basis,partial,partial_reason
Redvanly,1027,colourway records (244 styles),831,80.9,3.1,72.1,"census; 29 house families, zero licensed",depth_b1,244,reported,records,yes,"the share was counted on colourway records, so the style-level numerator needs a re-count"
Arc'teryx,204,styles,155,76.0,20.6,77.0,census 204/204,depth_arcteryx_patagonia,204,equals_records,styles,no,
Mack Weldon,232,styles,160,69.0,12.1,30.2,census 232/232,depth_lululemon_mackweldon,232,equals_records,styles,no,
Mott & Bow,179,apparel records (53 styles),121,67.6,17.9,15.1,"census; 100% by its own fabric facet, 67.6% in product copy",depth_b9,53,reported,records,yes,"the share was counted on apparel records, so the style-level numerator needs a re-count"
Theory,212,styles (648 records),142,67.0,2.4,14.2,census; registers nothing; floor,depth_b4,212,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count"
Cuts Clothing,465,colourway records,287,61.7,27.7,61.3,census,depth_b2,,unknown,records,yes,no style denominator exists: colourways are separate records; no style count was taken
Patagonia,518,styles,308,59.5,26.4,67.4,census 518/518 (supersedes the sample),depth_patagonia_full,518,equals_records,styles,no,
Son of a Tailor,49,live made-to-measure products,29,59.2,36.7,0.0,census,depth_b9,49,equals_records,styles,no,made-to-measure; one record per product
Vollebak,122,records (69 designs),66,54.1,22.1,54.1,licensed marks only - zero house names; engineered material named on 50%,depth_stoneisland_vollebak,69,reported,records,yes,"the share was counted on records, so the style-level numerator needs a re-count - 69 designs behind 122 records"
Charles Tyrwhitt,1218,products,634,52.8,32.1,4.8,census; men's-only house; SFCC product slice,depth_b5,,unknown,records,yes,no style denominator exists: colourways are separate records; no style count was taken
Hiroshi Kato,167,apparel records,88,52.7,25.1,0.0,"census; 4-WAY STRETCH SELVEDGE 74, DENIT 18",depth_b9,,unknown,records,yes,no style denominator exists: one wash/colour per record; no style count was taken
Zegna,585,colourway records,306,52.3,5.5,2.6,"census; all house cloths, zero licensed marks",depth_b8,,unknown,records,yes,no style denominator exists: colourway records; no style count was taken
Marine Layer,271,styles (766 records),134,49.4,14.8,15.5,"census; copy is in a PDP accordion, not the feed",depth_b4,271,reported,records,yes,"the share was counted on styles, so the style-level numerator needs a re-count"
