brand,current_score,named_technology,registered_owner,origin,evidence_url,checked_on,notes
Arc'teryx,5,Coreloft,AMER SPORTS CANADA INC.,house_owned,https://trademarks.justia.com/865/10/coreloft-86510753.html,2026-09-10,"USPTO Reg 4917532, cl.25 'thermal insulation made of nonwoven synthetic fibers for use in clothing'; filed 2015 by Arc'teryx Equipment Inc., renewed Mar 2026; also CIPO TMA930573. Amer Sports Canada is the Arc'teryx operating company. Register entry re-read and confirmed by this thread."
Arc'teryx,5,Hadron,Amer Sports Canada Inc.,house_owned,https://tsdr.uspto.gov/statusview/sn90638834,2026-09-10,"USPTO Reg 7190198, cl.24 textile fabric, registered 10 Oct 2023 (TSDR current; the Justia page is stale). LCP woven into nylon ripstop; no mill or fibre supplier named on the brand page."
Arc'teryx,5,Fortius,none found,unclear,https://trademarks.justia.com/search?q=fortius,2026-09-10,"Stretch woven face fabric (air 20, dw 2.0); shown with TM, not (R), on the brand site. No registration found in any Arc'teryx or Amer Sports name, and no third-party owner found either. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). WIPO returned internal errors on Down Composite Mapping, so that one is US-register only."
Arc'teryx,5,Tyono,none found,unclear,https://trademarks.justia.com/search?q=tyono,2026-09-10,"Air-permeable shell fabric (tyono 20); shown with TM, not (R), on the brand site. No registration found in any Arc'teryx or Amer Sports name, and no third-party owner found either. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). WIPO returned internal errors on Down Composite Mapping, so that one is US-register only."
Arc'teryx,5,Arato,none found,unclear,https://trademarks.justia.com/search?q=arato,2026-09-10,"Bio-derived/recycled nylon shell and liner; shown with TM, not (R), on the brand site. No registration found in any Arc'teryx or Amer Sports name, and no third-party owner found either. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). WIPO returned internal errors on Down Composite Mapping, so that one is US-register only."
Arc'teryx,5,Down Composite Mapping,none found,unclear,https://trademarks.justia.com/search?q=down,2026-09-10; 2026-09-12,"Zoned down-plus-coreloft construction; shown with TM, not (R), on the brand site. No registration found in any Arc'teryx or Amer Sports name, and no third-party owner found either. Searched: USPTO via Justia (keyword + the brand's owner pages), USPTO TSDR where a serial was known, WIPO Global Brand Database, TMview (EUIPO/UIBM/UKIPO/USPTO/WO). WIPO returned internal errors on Down Composite Mapping, so that one is US-register only. GAP CLOSED 2026-09-12: WIPO GBD retried - COMPOSITE MAPPING as an exact expression returns 0 records worldwide, and the full Arc'teryx Equipment portfolio in GBD (58 records) contains no such mark; CIPO reached directly (database current to 9 Sep 2026), 30 Arc'teryx records, none matching; TMview no rows. An unregistered descriptive process name, not a mark."
Arc'teryx,5,"GORE-TEX (PRO, ePE)",W. L. Gore & Associates,licensed,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,2026-09-10,"Third-party mark, licensed by definition; register not searched. On the Beta AR and most hardshells."
Arc'teryx,5,PrimaLoft,"PrimaLoft, Inc.",licensed,https://arcteryx.com/us/en/shop/mens/proton-hoody-8436,2026-09-10,"Third-party mark, licensed by definition; register not searched. Hood insulation on the Proton, whose body is Coreloft."
Patagonia,5,H2No,"Patagonia, Inc.",house_owned,https://trademarks.justia.com/741/31/h2no-74131603.html,2026-09-10,"USPTO Reg 1670347, cl.25, renewed 2021. Patagonia's own page calls it 'not a technology or specific material' but a performance standard the garments are tested against; the Torrentshell 3L names ECONYL face fabric over an unnamed PU membrane."
Patagonia,5,Capilene,"Patagonia, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn76175367,2026-09-10,"USPTO Reg 2712597 (cl.24 fabric), renewed Nov 2022; earlier cl.25 filing SN 73561090. Capilene Cool Daily is sold with HeiQ Pure odour control, a third-party finish."
Patagonia,5,Synchilla,"Patagonia, Inc.",house_owned,https://tsdr.uspto.gov/statusview/sn73511495,2026-09-10,"USPTO Reg 1351836, cl.25, renewed Jan 2025. Presented as the fleece itself; trim on the same garment is NetPlus."
