mark,brand_count,kind,owner,basis,brands
tencel,35,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AG; Brax; Buck Mason; Diesel; Eleventy; Faherty; Filson; Finisterre; Frame; Hartford; Indochino; J.Crew; J.Lindeberg; James Perse; Levi's; Malbon; Mott & Bow; Norse Projects; Officine Générale; PAIGE; Percival; Peter Millar; Rails; Rhude; Robert Barakett; Rodd & Gunn; Rowan; Samsøe Samsøe; Sunspel; Tecovas; Ted Baker; Todd Snyder; TravisMathew; Vineyard Vines; johnnie-O
lycra,32,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic; Boggi Milano; Bonobos; Bottega Veneta; Brax; Club Monaco; Diesel; Drake's; Faherty; Fendi; Filson; Finisterre; Indochino; J.Crew; J.Lindeberg; Jack Victor; James Perse; Jil Sander; Johnstons of Elgin; Levi's; Lululemon; Malbon; Marine Layer; PAIGE; Purple; Rag & Bone; Rails; Rhude; Rodd & Gunn; Sid Mashburn; Tecovas; Ted Baker
primaloft,20,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Arc'teryx; Bonobos; Buck Mason; Cuts Clothing; Easy Mondays; Everlane; Faherty; J.Crew; James Perse; Les Deux; Mizzen+Main; Moncler; NN07; Officine Générale; Our Legacy; Purple; Rhude; Samsøe Samsøe; Stone Island; johnnie-O
supima,19,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",BOSS; Banana Republic; Buck Mason; Citizens of Humanity; Diesel; Drake's; Faherty; Frame; Hartford; James Perse; Luca Faloni; Marine Layer; Mizzen+Main; PAIGE; Rhude; Rodd & Gunn; Rowan; Thom Browne; Visvim
coolmax,18,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Bonobos; Brax; Brooks Brothers; Club Monaco; Everlane; Faherty; Filson; Finisterre; J.Crew; J.Lindeberg; Lacoste; Mizzen+Main; Polo Ralph Lauren; Proper Cloth; RLX; Rhude; Vineyard Vines; johnnie-O
cordura,13,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",AYR; Club Monaco; Filson; Finisterre; Moncler; Norse Projects; Our Legacy; Polo Ralph Lauren; Rhude; Sease; Taylor Stitch; Visvim; Vollebak
water-repellent,12,noise,,generic adjective,Aimé Leon Dore; Berluti; Bottega Veneta; Charles Tyrwhitt; Dior; Eton; Jack Victor; Jil Sander; Lacoste; Mott & Bow; Polo Ralph Lauren; Reiss
gore-tex,12,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",A Bathing Ape; Aimé Leon Dore; BOSS; JiyongKim; Maison Margiela; Malbon; Norse Projects; Our Legacy; Samsøe Samsøe; Stone Island; Taylor Stitch; Visvim
vibram,9,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Aimé Leon Dore; Brooks Brothers; Jil Sander; Moncler; Our Legacy; Polo Ralph Lauren; Rodd & Gunn; Visvim; Zegna
loro piana,9,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",BOSS; Billy Reid; Boggi Milano; Bonobos; Brooks Brothers; J.Crew; Our Legacy; Proper Cloth; Todd Snyder
alcantara,9,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",BOSS; Boggi Milano; Eleventy; Fedeli; Gran Sasso; Hackett; Moncler; Sease; johnnie-O
thermore,8,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Aspesi; Baracuta; Brax; Brunello Cucinelli; Faherty; J.Lindeberg; Our Legacy; Sease
econyl,6,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios; Club Monaco; Finisterre; J.Crew; Patagonia; Stone Island
windstopper,5,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",A Bathing Ape; Herno; Moncler; Samsøe Samsøe; Visvim
technical fabric,5,noise,,generic descriptor,Bottega Veneta; Brioni; Dior; Lacoste; Lemaire
ykk,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Filson; Moncler; Our Legacy; Sease
waterproof,4,noise,,generic performance claim,Aimé Leon Dore; Bottega Veneta; Brioni; Lacoste
ventile,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Lemaire; Ralph Lauren Purple Label; Sunspel; Todd Snyder
thinsulate,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Bonobos; Our Legacy; Rhude; Taylor Stitch
sorona,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Aimé Leon Dore; Bonobos; Faherty; Malbon
repreve,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Finisterre; Tecovas; Vineyard Vines
polartec,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Herno; Moncler; Our Legacy; Taylor Stitch
dyneema,4,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler; Sease; Taylor Stitch; Vollebak
thomas mason,3,mill_or_fibre_supplier,Albini Group (Thomas Mason),English shirting mill brand; owned by Albini,Brooks Brothers; J.Crew; Suitsupply
thindown,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Boggi Milano; Sease; Y.Chroma
thermolite,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Mack Weldon; Mizzen+Main; Vineyard Vines
teflon,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Gran Sasso; Moncler; Rodd & Gunn
seaqual,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brax; Finisterre; Sunspel
schoeller,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Bonobos; J.Lindeberg; Taylor Stitch
reda,3,mill_or_fibre_supplier,Reda 1865,Italian wool mill in Biella,Boggi Milano; Charles Tyrwhitt; Suitsupply
ortholite,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brooks Brothers; Kith; Moncler
membrane,3,noise,,generic construction term,Berluti; Brioni; Rhude
lenzingecovero,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios; Brax; Faherty
lenzing ecovero,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic; Hartford; Samsøe Samsøe
horween,3,mill_or_fibre_supplier,Horween Leather Company,Chicago tannery supplying the brands,Bonobos; Faherty; Our Legacy
fsc,3,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios; Brunello Cucinelli; Hartford
elastane,3,noise,,generic fibre name; Lycra is the mark,Jack Victor; Officine Générale; Reiss
cupro,3,noise,,generic fibre name; Bemberg is the mark,Banana Republic; Brunello Cucinelli; Officine Générale
comfort stretch,3,noise,,generic descriptor,AGOLDE; Citizens of Humanity; Levi's
'technical fabric',3,noise,,generic descriptor with stray quotes from the harvest,Brunello Cucinelli; Massimo Dutti; The Row
ykk aquaguard,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Filson; Sease
thermore ecodown,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Lacoste; Sease
tencel/lyocell,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic; Bonobos
solotex,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Norse Projects; Our Legacy
seawool,2,mill_or_fibre_supplier,Creative Tech Textile,Taiwanese oyster-shell/rPET fibre sold into brands,Faherty; Finisterre
riri,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Our Legacy; Visvim
ripstop,2,noise,,generic weave name,Aimé Leon Dore; Lacoste
recco,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler; Sease
primaloft silver,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",J.Lindeberg; Tecovas
pertex quantum,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Norse Projects; Patagonia
oeko-tex,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Hartford; Our Legacy
non-iron,2,noise,,generic finish descriptor,Brooks Brothers; Charles Tyrwhitt
no trademark symbols anywhere,2,noise,,matched the page furniture / harvest note,Berluti; The Row
netplus,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Finisterre; Patagonia
naia,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Samsøe Samsøe
loro piana storm system,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Herno; Peserico
four-way stretch,2,noise,,generic descriptor,Peter Millar; Polo Ralph Lauren
featherweight,2,noise,,generic weight descriptor,TravisMathew; johnnie-O
european flax,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Hartford; Samsøe Samsøe
easy care,2,noise,,generic finish descriptor,Boggi Milano; Hackett
dermizax,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler; Sease
circulose,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Faherty; Samsøe Samsøe
brrr°,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Criquet; Southern Tide
breathable,2,noise,,generic performance claim,Eton; Hackett
bemberg,2,mill_or_fibre_supplier,Asahi Kasei,Bemberg cupro is Asahi Kasei's fibre brand,Boggi Milano; Buck Mason
bananatex,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Alex Crane; Fendi
albini,2,mill_or_fibre_supplier,Albini Group,Italian shirting mill,Boggi Milano; Suitsupply
3m thinsulate,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Polo Ralph Lauren; Rodd & Gunn
37.5,2,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Brax; Norse Projects
zelanderdream by loro piana,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Eleventy
zeiss9 products - licensedlenses'),1,noise,,harvest artefact: page furniture fused to the word Zeiss,Zilli
zegna fabric,1,mill_or_fibre_supplier,Ermenegildo Zegna (Lanificio Zegna),Eleventy crediting Zegna mill cloth; Zegna is the third party here,Eleventy
yulex,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Finisterre
yukon extremes,1,noise,,Carhartt outerwear line name; a collection not a material mark,Carhartt
ykk (1 hit,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Acne Studios
yeti magslider / durasip,1,mill_or_fibre_supplier,YETI,third-party drinkware marks appearing via a Kith collab,Kith
yellowpop certiled. plus lycra,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Kith
xl extralight,1,mill_or_fibre_supplier,Finproject,XL EXTRALIGHT is Finproject's registered sole foam,BOSS
x-static,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Lululemon
wrinkl,1,noise,,truncated fragment of a wrinkle-free descriptor,Boggi Milano
wooster,1,noise,,Mott & Bow fit name (NYC street),Mott & Bow
woolwish,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Sease
wind-resistant w,1,noise,,truncated generic descriptor,Valstar
wind fighter,1,house_named_fabric,Carhartt,Carhartt's own name for its wind-resistant technology,Carhartt
whole-page only),1,noise,,harvest annotation not a mark,Acne Studios
weightless stretch,1,noise,,generic descriptor,AGOLDE
weightless,1,noise,,generic descriptor,Joe's Jeans
weba,1,mill_or_fibre_supplier,Weberei Appenzell (weba),Swiss weaving mill; Suitsupply publishes a mill page on it,Suitsupply
waterproof. no house fabric name,1,noise,,harvest annotation,Lemaire
waterproof backing membrane,1,noise,,generic construction description,Hackett
water<less,1,house_named_fabric,Levi Strauss & Co.,Levi's own Water<Less finishing process,Levi's
water-resistant,1,noise,,generic claim,Dior
water,1,noise,,fragment,Rhude
warpstreme,1,house_named_fabric,lululemon,lululemon's own fabric name,Lululemon
warmknit,1,house_named_fabric,Mack Weldon,Mack Weldon's own fabric name,Mack Weldon
warming,1,noise,,generic descriptor,Eton
vx re:ski,1,unclear,,J.Lindeberg ski label; could not tell whether VX is a supplier code or a house name,J.Lindeberg
vn preserve,1,unclear,Bottega Veneta (probable),VN is a BV leather code but no source confirms a mark called VN Preserve,Bottega Veneta
vitasea,1,house_named_fabric,lululemon,lululemon's own seaweed-blend fabric name,Lululemon
vitale barberis canonico,1,mill_or_fibre_supplier,Vitale Barberis Canonico,Italian wool mill,Boggi Milano
visvim harmonious process,1,house_named_fabric,Visvim,the brand's own name for its dye/finish process,Visvim
vintage stretch,1,noise,,generic denim descriptor,Joe's Jeans
vibram sole,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Wales Bonner
versaknit,1,house_named_fabric,Cuts Clothing,brand-coined knit name,Cuts Clothing
venezia calf leather (house,1,house_named_fabric,Berluti,Berluti's own Venezia leather; trailing text is harvest noise,Berluti
vellus aureum,1,house_named_fabric,Zegna,Zegna's own ultrafine wool mark,Zegna
velcro,1,mill_or_fibre_supplier,Velcro IP Holdings,hook-and-loop hardware trademark,Sease
used as a fabric name in product titles,1,noise,,harvest annotation,Wythe
upf,1,noise,,generic sun-protection rating,Peter Millar
unnamed),1,noise,,harvest annotation,Hartford
"unnamed generic ""water-repellent"" 1x",1,noise,,harvest annotation,Robert Barakett
unbranded),1,noise,,harvest annotation,Rag & Bone
unb,1,noise,,fragment of unbranded,Stefano Ricci
ultralight,1,noise,,generic weight descriptor,Brax
ultra dry,1,house_named_fabric,Lacoste,Lacoste's own performance fabric name,Lacoste
ultimate performance,1,house_named_fabric,Charles Tyrwhitt,CT's own name for its performance shirt cloth,Charles Tyrwhitt
typhoonplatinum,1,house_named_fabric,Paul & Shark,Paul & Shark house fabric (Typhoon Platinum),Paul & Shark
