brand,store_name,format,format_basis,street,city,state,zip,phone,source_url,address_conflict,flag,correction,captured_on
Canada Goose,Anchorage 5th Avenue Mall,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",320 W 5th Ave,Anchorage,AK,99501,907-341-3303,https://www.canadagoose.com/us/en/stores/anchorage-store.html,,,street from the store page. The locator's address block prints '320 W 5th Abe'; the store page prints '320 W 5th Ave'. Store page taken.,2026-09-05
Canada Goose,Atlanta Phipps Plaza,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",3500 Peachtree Road NE,Atlanta,GA,30326,470-408-2290,https://www.canadagoose.com/us/en/stores/Phipps_Plaza.html,,,"phone from the store page. The locator prints 407-408-2290; the store page prints 470-408-2290. 407 is an Orlando FL area code and 470 is metro Atlanta, so the locator's looks like a transposition — but both are the brand's own, and this is not independently verified. Store page taken.",2026-09-05
Canada Goose,Boston Prudential Center,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",800 Boylston St,Boston,MA,02199,617-982-0292,https://www.canadagoose.com/us/en/stores/boston-store.html,,,,2026-09-05
Canada Goose,California South Coast Plaza,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded","3333 Bristol St, Level 1, Suite 1001",Costa Mesa,CA,92626,949-503-9022,https://www.canadagoose.com/us/en/stores/south-coast-plaza-california-store.html,,,"street from the store page, which publishes the unit ('Level 1, Suite 1001'); the locator's address block stops at '3333 Bristol St'.",2026-09-05
Canada Goose,Denver Cherry Creek Shopping Center,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded","3000 E 1st Ave, Unit 2238",Denver,CO,80206,303-376-3741,https://www.canadagoose.com/us/en/stores/cherry-creek-store.html,,,phone from the store page (303-376-3741). The locator publishes no phone for this door. Not inferred — taken from the brand's own store page.,2026-09-05
Canada Goose,Chicago Michigan Avenue,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",800 North Michigan Avenue,Chicago,IL,60611,312-767-0544,https://www.canadagoose.com/us/en/stores/chicago-store.html,,,"hours verbatim: the page publishes 'Sunday: 11:00 pm - 5:00 pm', an impossible range. Not corrected.",2026-09-05
Canada Goose,Hawaii Ala Moana Center,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",1450 Ala Moana Blvd,Honolulu,HI,96814,808-909-3788,https://www.canadagoose.com/us/en/stores/hawaii-store.html,,,,2026-09-05
Canada Goose,Crystals The Shops at Crystals,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",3720 S Las Vegas Blvd,Las Vegas,NV,89158,725-240-6969,https://www.canadagoose.com/us/en/stores/Crystals-Store.html,,,hours verbatim: the page publishes 'Sunday: 11:00 pm - 9:00 pm'. Not corrected.,2026-09-05
Canada Goose,Beverly Center Los Angeles Beverly Center,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",8500 Beverly Blvd,Los Angeles,CA,90048,424-600-8869,https://www.canadagoose.com/us/en/stores/BeverlyCenter.html,,,store_name is verbatim as the locator publishes it — its heading repeats the venue ('Beverly Center' + 'Los Angeles Beverly Center'). Not tidied.,2026-09-05
Canada Goose,Minneapolis Mall of America,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",162 West Market,Bloomington,MN,55425,952-491-6935,https://www.canadagoose.com/us/en/stores/minneapolis-store.html,,,"hours verbatim: the page publishes no ordinary Sunday line, only 'Easter Sunday: closed'. Not corrected.",2026-09-05
Canada Goose,New Jersey American Dream,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",1 American Dream Way,East Rutherford,NJ,07073,551-307-7099,https://www.canadagoose.com/us/en/stores/American_Dream.html,,,hours verbatim: the page publishes no Sunday line at all. Not corrected.,2026-09-05
Canada Goose,Fifth Avenue New York,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",689 5th Ave,New York,NY,10022,646-640-1964,https://www.canadagoose.com/us/en/stores/fifth-ave-newyork-store.html,,,,2026-09-05
Canada Goose,New York City SOHO,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",101 Wooster Street,New York,NY,10012,845-709-8342,https://www.canadagoose.com/us/en/stores/new-york-store.html,,,,2026-09-05
Canada Goose,Philadelphia King of Prussia,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",160 N Gulph Road,King of Prussia,PA,19406,610-871-8755,https://www.canadagoose.com/us/en/stores/King_of_Prussia.html,,,"street from the store page. The locator prints '160 N Guelph Road'; the store page prints '160 N Gulph Road'. Store page taken. Its phone is published as '610- 871-8755' with a stray space; whitespace normalised, digits unchanged.",2026-09-05
Canada Goose,Oakbrook Center,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",100 Oakbrook Center Space 218,Oak Brook,IL,60523,(331) 319-1889,https://www.canadagoose.com/us/en/stores/oakbrook-store.html,,,"Both sources are malformed for this door. The locator's city field reads 'Oak Brook, IL,' followed by a separate state field 'IL'; the store page's street field reads '100 Oakbrook Center Space 218, Oak Brook,'. The duplicated city was removed from each; street and city are otherwise as published. Also the only door of the 18 publishing no Book Appointment link.",2026-09-05
Canada Goose,Short Hills The Mall at Short Hills,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded",1200 Morris Turnpike,Short Hills,NJ,07078,973-232-0820,https://www.canadagoose.com/us/en/stores/new-jersey-store.html,,,,2026-09-05
Canada Goose,Troy Somerset Collection,own-door,"brand-stated: ""Canada Goose store locations"" list only; retailer map excluded","2801 W Big Beaver Rd, Suite J-230",Troy,MI,48084,313-484-4684,https://www.canadagoose.com/us/en/stores/somerset-store.html,,,"Locator publishes 2800 Big Beaver Road, Level 2 South — Somerset Collection mall address; store-page value adopted per SG 2026-09-06.",2026-09-05
