brand,store_name,banner_stated,format,status,street,city,state,zip,phone,venue,source_url,format_basis,flag,correction,captured_on,source_file
120% Lino,Aventura Mall,,own-door,open,19501 Biscayne Boulevard #2035,Aventura,FL,33180,,Aventura Mall,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,The St. Regis Bal Harbour,,own-door,open,9703 Collins Avenue,Bal Harbour,FL,33154,,The St. Regis Bal Harbour,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,Shops at Merrick Park,,own-door,open,"342 San Lorenzo Ave, #1100",Coral Gables,FL,33146,,Shops at Merrick Park,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,The Ritz-Carlton Key Biscayne,,own-door,open,455 Grand Bay Drive,Key Biscayne,FL,33149,,The Ritz-Carlton Key Biscayne,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,Brickell City Centre,,own-door,open,701 S. Miami Ave #128A,Miami,FL,33130,,Brickell City Centre,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,Waterside Shops,,own-door,open,5555 Tamiami Trail N. #G12,Naples,FL,34108,,Waterside Shops,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,,,own-door,open,339 Worth Avenue #216,Palm Beach,FL,33480,,,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,The Shops at Wailea,,own-door,open,3750 Wailea Alanui Dr Suite #A15,Wailea,HI,96753,,The Shops at Wailea,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,,,own-door,open,28 Centre Street,Nantucket,MA,02554,,,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,The Mall of San Juan,,own-door,open,"Suite 224B, The Mall of San Juan",San Juan,PR,00924,,The Mall of San Juan,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
120% Lino,,,own-door,open,216 King Street,Charleston,SC,29401,,,https://www.120percento.com/en/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
A Bathing Ape,SAN FRANCISCO,,own-door,open,216 Stockton St,San Francisco,CA,94108,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,LOS ANGELES,,own-door,open,8810 Melrose Avenue,West Hollywood,CA,90069,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,MIAMI,,own-door,open,4018 NE 2nd Ave,Miami,FL,33137,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,CHICAGO,,own-door,open,113 E Oak St,Chicago,IL,60611,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,NEW JERSEY,,own-door,open,1 American Dream Way #E225,East Rutherford,NJ,07073,,American Dream,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,LAS VEGAS,,own-door,open,,Las Vegas,NV,89109,,Wynn Plaza Shops,,,,"No street number published — venue ""Wynn Plaza Shops, 2nd Level"" only; street left blank rather than derived.",2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,NEW YORK CITY SOHO,,own-door,open,163 Mercer St,New York,NY,10012,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
A Bathing Ape,NEW YORK CITY MADISON,,own-door,open,650 Madison Ave,New York,NY,10022,,,,,,,2026-09-05,bape_classified_2026-09-05.csv
Acne Studios,South Coast Plaza,,own-door,open,"3333 Bristol St, Suite 2014",Costa Mesa,CA,92626,,South Coast Plaza,https://www.acnestudios.com/us/en/stores/south-coast-plaza,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,,,own-door,open,8920 Melrose Avenue,Los Angeles,CA,90069,,,https://www.acnestudios.com/us/en/stores/west-hollywood,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,,,own-door,open,18-24 Geary Street,San Francisco,CA,94108,,,https://www.acnestudios.com/us/en/stores/geary-street,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,Miami Design District,,own-door,open,85 NE 41st St,Miami,FL,33137,,Miami Design District,https://www.acnestudios.com/us/en/stores/miami-design-district,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,The Shops at Crystals,,own-door,open,"The Crystals - 3720 Las Vegas Blvd South, Suite 227",Las Vegas,NV,89158,,The Shops at Crystals,https://www.acnestudios.com/us/en/stores/crystals,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,,,own-door,open,33 Greene Street,New York,NY,10013,,,https://www.acnestudios.com/us/en/stores/greene-street,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Acne Studios,,,own-door,open,82 Gansevoort,New York,NY,10014,,,https://www.acnestudios.com/us/en/stores/meatpacking,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,Scottsdale Fashion Square,,own-door,open,7014 E Camelback Rd. Unit# 1296,Scottsdale,AZ,85251,,Scottsdale Fashion Square,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,Fashion Island,,own-door,open,401 Newport Center Dr. Space #573,Newport Beach,CA,92660,,Fashion Island,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,,,own-door,open,1009 Madison Ave,New York,NY,10075,,,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,,,own-door,open,113 Greene St. - A,New York,NY,10012,,,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,The Shops at Hudson Yards,,own-door,open,20 Hudson Yards RU #223A,New York,NY,10001,,The Shops at Hudson Yards,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,,,own-door,open,305 Columbus Ave.,New York,NY,10023,,,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
AG,The Galleria,,own-door,open,5115 Westheimer Rd. Suite C2575,Houston,TX,77056,,The Galleria,https://www.agjeans.com/pages/stores,master store_type=standard (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
Aimé Leon Dore,,,own-door,open,8746 Melrose Ave.,Los Angeles,CA,90069,,,https://www.aimeleondore.com/pages/stores,master store_type=flagship (pre-recapture),,,2026-08-23,locations_2026-08-29.csv
