brand,own_doors,record
Palm Angels,0,"VERIFIED NONE (SG, brand locator)"
Baracuta,0,VERIFIED NONE (SG)
Criquet,0,VERIFIED NONE (SG)
Paul & Shark,0,VERIFIED NONE (brand locator: stockists only)
Zilli,0,VERIFIED NONE (en.zilli.com store locator)
Brax,0,"VERIFIED NONE (SG, brand store finder)"
Easy Mondays,0,VERIFIED NONE (dealer page only)
J.Lindeberg,0,"VERIFIED NONE (SG, brand site)"
Les Deux,0,VERIFIED NONE (three European flagships only)
Samsøe Samsøe,0,VERIFIED NONE (store finder; NYC is a showroom)
Rakho,0,VERIFIED NONE (rakho.nyc: showroom only)
Wythe,0,VERIFIED NONE (retailers page only; 59 Orchard is a registered address)
Ted Baker,0,VERIFIED NONE (27 Bloomingdale's concessions; licensee collapse 2024)
RLX,0,VERIFIED NONE (RL line; departments only)
Ralph Lauren Purple Label,0,VERIFIED NONE standalone (RL line; 25 departments)
Club Monaco,0,DROPPED by SG 2026-09-04 (closing stores; Short Hills door seen trading 09-12)
Scotch & Soda,0,DROPPED by SG 2026-09-04
