shop,city,state,type
Coco Lily,Avon,CT,boutique
Jimmy's Clothing & Footwear,Bridgeport,CT,boutique
Darien Sport Shop,Darien,CT,boutique
Anchor & Compass,Deep River,CT,menswear specialist
J. Alden Clothiers,Essex,CT,menswear specialist
Richards,Greenwich,CT,menswear specialist
Threads & Treads,Greenwich,CT,boutique
Gentlemen's Social,Guilford,CT,menswear specialist
Morneault's Stackpole Moore Tryon,Hartford,CT,menswear specialist
Ramani's Clothiers,Meriden,CT,menswear specialist
Family Britches,New Canaan,CT,menswear specialist
Enson's Menswear,New Haven,CT,menswear specialist
Ferrucci,New Haven,CT,menswear specialist
Raggs,New Haven,CT,menswear specialist
Plain Goods,New Preston,CT,boutique
Gray Clothiers,Old Greenwich,CT,boutique
Saybrook Home,Old Saybrook,CT,boutique
Backers,Orange,CT,menswear specialist
CT Run Co.- Ridgefield Running,Ridgefield,CT,boutique
Zahner's Clothiers,Vernon,CT,menswear specialist
Daswani Clothiers,West Hartford,CT,menswear specialist
ASF Sports & Outdoors,Westport,CT,boutique
Mitchells,Westport,CT,menswear specialist
AWOL,Allston,MA,boutique
The Andover Shop,Andover,MA,menswear specialist
Ari Boston Mens Store,Boston,MA,menswear specialist
Bodega,Boston,MA,boutique
REI Boston,Boston,MA,boutique
Sneaker Junkies,Boston,MA,boutique
Miltons The Store For Men,Braintree,MA,menswear specialist
Drinkwater's,Cambridge,MA,menswear specialist
Island Pursuit,Chatham,MA,boutique
Puritan Cape Cod,Chatham,MA,boutique
Blue Dry Goods,Concord,MA,boutique
Giblees,Danvers,MA,menswear specialist
Dune,Edgartown,MA,menswear specialist
North River Outfitter,Edgartown,MA,menswear specialist
Fluff Alpaca,Great Barrington,MA,boutique
Scout House,Great Barrington,MA,boutique
The Shoe Market,Hingham,MA,boutique
Arcadian Shop,Lenox,MA,boutique
Canyon Ranch Lenox,Lenox,MA,boutique
AWOL,Lowell,MA,boutique
Cara Norman,Nantucket,MA,boutique
Murray's Toggery,Nantucket,MA,menswear specialist
Nantucket Boat Basin Authentic Shop,Nantucket,MA,boutique
The Haulover,Nantucket,MA,boutique
Simon & Sons,Needham Hgts,MA,boutique
The Basin Apparel Company,Newburyport,MA,boutique
Tide & Thyme,Newburyport,MA,boutique
Mr. Sid,Newton,MA,menswear specialist
Mosher's Men's Store,Newton Centre,MA,menswear specialist
Jackson and Connor,Northampton,MA,menswear specialist
Natale's Men's Clothier,Norwell,MA,menswear specialist
Watson's Style,Orleans,MA,boutique
Clove & Creek,Provincetown,MA,boutique
The Point,South Boston,MA,boutique
Dahlia Living,South Dartmouth,MA,boutique
L & A Fine Men's Shop,Springfield,MA,boutique
Lennox & Harvey,Vineyard Haven,MA,boutique
The Green Room,Vineyard Haven,MA,menswear specialist
The Copper Shed,Wenham,MA,boutique
Country Woolens,Westport,MA,boutique
Kennebunk Outfitters,Kennebunk,ME,boutique
Dannah for Men,Kennebunkport,ME,menswear specialist
Kittery Trading Post,Kittery,ME,outfitter
David Wood Clothier,Portland,ME,menswear specialist
Fore & Wharf,Portland,ME,boutique
Joseph's,Portland,ME,menswear specialist
Lazy Sun,Portland,ME,boutique
Peter Renney's Fashion,Portland,ME,menswear specialist
Maine Sport Outfitters,Rockport,ME,multi-door chain
New England Mercantile & Barbour,Exeter,NH,single-label door
Dartmouth Co-Op,Hanover,NH,collegiate
Hubert's of Lebanon,Lebanon,NH,outfitter
Inside Out,Portsmouth,NH,boutique
New Hour Clothing,Asbury Park,NJ,boutique
Galvanic,Cape May,NJ,boutique
Hans Clothier,Far Hills,NJ,menswear specialist
580 South,Livingston,NJ,menswear specialist
Sink R Swim,Long Beach Township,NJ,boutique
City Workshop Men's Supply Co.,Maplewood,NJ,menswear specialist
Evolve Clothing Gallery,Somerville,NJ,boutique
John Hyatt Clothing,Summit,NJ,menswear specialist
Mark Thomas Men's Apparel,Albany,NY,menswear specialist
Maryann's,Beacon,NY,boutique
Bellport General,Bellport,NY,boutique
Drama Club,Brooklyn,NY,boutique
Fig,Brooklyn,NY,boutique
Haus of Hanz,Brooklyn,NY,boutique
Kai D. Fan,Brooklyn,NY,menswear specialist
Southampton Blazer And Button Co.,Garden City,NY,menswear specialist
Salt + Sea,Greenport,NY,boutique
Clove and Creek Hudson,Hudson,NY,boutique
HIM by Catherine H.,Katonah,NY,menswear specialist
Clove and Creek Kingston,Kingston,NY,boutique
D'Agostino Clothiers & Tailors,Larchmont,NY,menswear specialist
The Spot,Locust Valley,NY,boutique
Mur-Lee's,Lynbrook,NY,menswear specialist
Hirshleifers,Manhasset,NY,boutique
Rothman's - NYC,New York,NY,unclassified
Self Edge New York,New York,NY,menswear specialist
FiveEightThree,Ocean Beach,NY,boutique
Annabel The Shop,Sag Harbor,NY,boutique
"T.F. Finnigan, Inc",Saranac Lake,NY,boutique
The Store,Saratoga Springs,NY,boutique
Woodbury Mens Shop,Woodbury,NY,menswear specialist
Changes,Woodstock,NY,menswear specialist
assembly88,Allentown,PA,boutique
Cove Creek Outfitters,Bedford,PA,boutique
Lapels,Greensburg,PA,menswear specialist
700 Shop,Indiana,PA,menswear specialist
Millers of Johnstown,Johnstown,PA,menswear specialist
Trail Creek Outfitters,Kennett Square,PA,boutique
Post & Rail Men's Shop,Ligonier,PA,menswear specialist
Englund's Apparel for Men,Malvern,PA,menswear specialist
Giovanni's Fine Fashions,Newtown,PA,menswear specialist
Hassis Men's Shop,Newtown Square,PA,menswear specialist
Franklin & Poe,Philadelphia,PA,menswear specialist
Totem Brand Co.,Philadelphia,PA,boutique
Weitzenkorn's,Phoenixville,PA,menswear specialist
Heinz Healey's,Pittsburgh,PA,menswear specialist
Larrimor's,Pittsburgh,PA,boutique
Moda,Pittsburgh,PA,boutique
TONS,Pittsburgh,PA,boutique
Vestis,Pittsburgh,PA,menswear specialist
Burlap and Bourbon,Scranton,PA,boutique
Harpers,State College,PA,boutique
Oxford & Derby,Warrendale,PA,boutique
Boyds,Wayne,PA,menswear specialist
Out There Outfitters,Wayne,PA,boutique
Phineas Gage,West Chester,PA,boutique
