brand,store_name,format,host,label_stated,street,city,state,zip,phone,store_id,source_url,captured_on,note
Ralph Lauren Purple Label,Ralph Lauren Phoenix,parent-store department,Ralph Lauren,Purple Label,2502 East Camelback Road,Phoenix,AZ,85016,602.952.0155,818,https://www.ralphlauren.com/locations/US/Phoenix/818,2026-09-05,
RRL,Ralph Lauren Phoenix,parent-store department,Ralph Lauren,RRL,2502 East Camelback Road,Phoenix,AZ,85016,602.952.0155,818,https://www.ralphlauren.com/locations/US/Phoenix/818,2026-09-05,
RLX,Ralph Lauren Phoenix,parent-store department,Ralph Lauren,Golf,2502 East Camelback Road,Phoenix,AZ,85016,602.952.0155,818,https://www.ralphlauren.com/locations/US/Phoenix/818,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
Ralph Lauren Purple Label,Ralph Lauren Beverly Hills,parent-store department,Ralph Lauren,Purple Label,444 North Rodeo Dr,Beverly Hills,CA,90210,310.281.7200,831,https://www.ralphlauren.com/locations/US/Beverly%20Hills/831,2026-09-05,
RRL,Ralph Lauren Beverly Hills,parent-store department,Ralph Lauren,RRL,444 North Rodeo Dr,Beverly Hills,CA,90210,310.281.7200,831,https://www.ralphlauren.com/locations/US/Beverly%20Hills/831,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Costa Mesa,parent-store department,Ralph Lauren,Purple Label,3333 Bristol Street,Costa Mesa,CA,92626,714.556.7656,873,https://www.ralphlauren.com/locations/US/Costa%20Mesa/873,2026-09-05,
RRL,Ralph Lauren Costa Mesa,parent-store department,Ralph Lauren,RRL,3333 Bristol Street,Costa Mesa,CA,92626,714.556.7656,873,https://www.ralphlauren.com/locations/US/Costa%20Mesa/873,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren La Jolla,parent-store department,Ralph Lauren,Purple Label,7830 Girard Avenue,La Jolla,CA,92037,858.459.0554,817,https://www.ralphlauren.com/locations/US/La%20Jolla/817,2026-09-05,
RRL,Ralph Lauren La Jolla,parent-store department,Ralph Lauren,RRL,7830 Girard Avenue,La Jolla,CA,92037,858.459.0554,817,https://www.ralphlauren.com/locations/US/La%20Jolla/817,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Los Angeles,parent-store department,Ralph Lauren,Purple Label,"10250 Santa Monica Blvd, Suite 1945",Los Angeles,CA,90067,310.857.2482,8053,https://www.ralphlauren.com/locations/US/Los%20Angeles/8053,2026-09-05,
RRL,Ralph Lauren Los Angeles,parent-store department,Ralph Lauren,RRL,"10250 Santa Monica Blvd, Suite 1945",Los Angeles,CA,90067,310.857.2482,8053,https://www.ralphlauren.com/locations/US/Los%20Angeles/8053,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Palm Desert,parent-store department,Ralph Lauren,Purple Label,73-080 El Paseo,Palm Desert,CA,92260,760.340.2023,835,https://www.ralphlauren.com/locations/US/Palm%20Desert/835,2026-09-05,
RLX,Ralph Lauren Palm Desert,parent-store department,Ralph Lauren,Golf,73-080 El Paseo,Palm Desert,CA,92260,760.340.2023,835,https://www.ralphlauren.com/locations/US/Palm%20Desert/835,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
Ralph Lauren Purple Label,Ralph Lauren Palo Alto,parent-store department,Ralph Lauren,Purple Label,383A Stanford Shopping Center,Palo Alto,CA,94304,+16503701114,8083,https://www.ralphlauren.com/locations/US/Palo%20Alto/8083,2026-09-05,
RRL,Polo Ralph Lauren San Francisco,parent-store department,Ralph Lauren,RRL,441 Jackson St,San Francisco,CA,94111,415.376.2177,8070,https://www.ralphlauren.com/locations/US/San%20Francisco/8070,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Aspen,parent-store department,Ralph Lauren,Purple Label,501 East Cooper Avenue,Aspen,CO,81611,970.925.5147,874,https://www.ralphlauren.com/locations/US/Aspen/874,2026-09-05,
RRL,Ralph Lauren Aspen,parent-store department,Ralph Lauren,RRL,501 East Cooper Avenue,Aspen,CO,81611,970.925.5147,874,https://www.ralphlauren.com/locations/US/Aspen/874,2026-09-05,
Ralph Lauren Purple Label,Polo Ralph Lauren Washington,parent-store department,Ralph Lauren,Purple Label,1245 Wisconsin Avenue,Washington,DC,20007,202.965.0905,813,https://www.ralphlauren.com/locations/US/Washington/813,2026-09-05,
RRL,Polo Ralph Lauren Washington,parent-store department,Ralph Lauren,RRL,1245 Wisconsin Avenue,Washington,DC,20007,202.965.0905,813,https://www.ralphlauren.com/locations/US/Washington/813,2026-09-05,
RLX,Ralph Lauren Aventura,parent-store department,Ralph Lauren,Golf,"19501 Biscayne Boulevard, Suite 147",Aventura,FL,33180,305.690.0532,8054,https://www.ralphlauren.com/locations/US/Aventura/8054,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
Ralph Lauren Purple Label,Ralph Lauren Bal Harbour,parent-store department,Ralph Lauren,Purple Label,"9700 Collins Avenue, Suite 238",Bal Harbour,FL,33154,305.602.8896,8047,https://www.ralphlauren.com/locations/US/Bal%20Harbour/8047,2026-09-05,
RRL,Ralph Lauren Bal Harbour,parent-store department,Ralph Lauren,RRL,"9700 Collins Avenue, Suite 238",Bal Harbour,FL,33154,305.602.8896,8047,https://www.ralphlauren.com/locations/US/Bal%20Harbour/8047,2026-09-05,
Ralph Lauren Purple Label,Ralph Lauren Miami,parent-store department,Ralph Lauren,Purple Label,170 NE 40th Street,Miami,FL,33137,(786) 826-9199,8073,https://www.ralphlauren.com/locations/US/Miami/8073,2026-09-05,
RLX,Ralph Lauren Naples,parent-store department,Ralph Lauren,Golf,"5485 Tamiami Trail, Suite # D - 1",Naples,FL,34108,239.597.1417,8041,https://www.ralphlauren.com/locations/US/Naples/8041,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
Ralph Lauren Purple Label,Ralph Lauren Palm Beach,parent-store department,Ralph Lauren,Purple Label,300 Worth Avenue,Palm Beach,FL,33480,561.651.3900,827,https://www.ralphlauren.com/locations/US/Palm%20Beach/827,2026-09-05,
RLX,Ralph Lauren Palm Beach,parent-store department,Ralph Lauren,Golf,300 Worth Avenue,Palm Beach,FL,33480,561.651.3900,827,https://www.ralphlauren.com/locations/US/Palm%20Beach/827,2026-09-05,label_stated=Golf — RLX reading is INFERENCE
