brand,shops,states,shop_types,qualifier,carried_by,proposed_key,status,notes
"Hart, Schaffner & Marx",6,PA,In scope 1,,700 Shop;Harpers;Hassis Men's Shop;Heinz Healey's;Lapels;Millers of Johnstown,,not_started,
Tommy Bahama,6,PA,In scope 5;Multigender 1,,Englund's Apparel for Men;Giovanni's Fine Fashions;Harpers;Heinz Healey's;Lapels;Post & Rail Men's Shop,,not_started,
Adidas,4,NJ;PA,Multigender 3;In scope 1,,700 Shop;Evolve Clothing Gallery;TONS;Totem Brand Co.,,not_started,
Birkenstock,4,NJ;PA,Multigender 3;In scope 1,,City Workshop Men's Supply Co.;Evolve Clothing Gallery;Totem Brand Co.;assembly88,,not_started,
PennBilt,4,NJ;PA,Multigender 2;In scope 1,check stockists · khakis only,Hans Clothier;Harpers;Out There Outfitters;assembly88,,not_started,
Smathers & Branson,4,NJ;PA,In scope 2;Multigender 2,,Hans Clothier;John Hyatt Clothing;Sink R Swim;assembly88,,not_started,
34 Heritage,3,NJ;PA,In scope 3,,700 Shop;Hans Clothier;Weitzenkorn's,,not_started,
3sixteen,3,NJ;PA,In scope 2,,City Workshop Men's Supply Co.;Franklin & Poe;Vestis,,not_started,
American Trench,3,PA,In scope 3,check stockists,Franklin & Poe;Vestis;Weitzenkorn's,,not_started,
Anonymous Ism,3,NJ;PA,In scope 2;Multigender 1,high on weird,City Workshop Men's Supply Co.;Totem Brand Co.;Vestis,,not_started,
Autumn Cashmere,3,PA,Multigender 2;In scope 1,,Boyds;Harpers;Moda,,not_started,
Bugatchi,3,PA,Multigender 2;In scope 1,,Harpers;Heinz Healey's;assembly88,,not_started,
Calvin Klein,3,PA,In scope 3,,Heinz Healey's;Lapels;Millers of Johnstown,,not_started,
Corridor,3,NJ;PA,Multigender 2;In scope 1,,Evolve Clothing Gallery;New Hour Clothing;Vestis,,not_started,
David Donahue,3,PA,In scope 3,check stockists,Boyds;Hassis Men's Shop;Weitzenkorn's,,not_started,
Fair Harbor,3,NJ;PA,Multigender 2;In scope 1,department store only,Hans Clothier;Phineas Gage;assembly88,,not_started,
Far Afield,3,NJ;PA,In scope 2;Multigender 1,check stockists,City Workshop Men's Supply Co.;Harpers;Vestis,,not_started,
Howler Bros,3,NJ;PA,Multigender 2;In scope 1,,John Hyatt Clothing;Out There Outfitters;assembly88,,not_started,
Kinross,3,PA,Multigender 3,wholesale only,Harpers;Larrimor's;Oxford & Derby,,not_started,
Martin Dingman,3,PA,Multigender 2;In scope 1,,Harpers;Oxford & Derby;Weitzenkorn's,,not_started,
Michael Kors,3,PA,In scope 3,,Heinz Healey's;Lapels;Millers of Johnstown,,not_started,
Pendleton,3,NJ;PA,In scope 3,,Englund's Apparel for Men;Hans Clothier;Post & Rail Men's Shop,,not_started,
Pure Blue Japan,3,NJ;PA,In scope 2;Multigender 1,,City Workshop Men's Supply Co.;Franklin & Poe;Totem Brand Co.,,not_started,
Relwen,3,NJ;PA,In scope 3,check stockists,City Workshop Men's Supply Co.;Hans Clothier;Weitzenkorn's,,not_started,
Schott NYC,3,PA,In scope 2;Multigender 1,jackets only,Franklin & Poe;Weitzenkorn's;assembly88,,not_started,
Swims,3,PA,Multigender 2;In scope 1,,Harpers;Larrimor's;Weitzenkorn's,,not_started,
The North Face,3,PA,Multigender 3,,Out There Outfitters;Totem Brand Co.;Trail Creek Outfitters,,not_started,
Amundsen,2,NJ,In scope 2,,Hans Clothier;John Hyatt Clothing,,not_started,
Greyson,1,MA,boutique 1,golf direction; seen in person,kloTH,,not_started,
