brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Ballin,8,PA,Johnstown;Ligonier;Malvern;Newtown Square;Phoenixville;Pittsburgh;State College;Warrendale,In scope 5;Multigender 3,Ballin,Englund's Apparel for Men;Harpers;Hassis Men's Shop;Larrimor's;Millers of Johnstown;Oxford & Derby;Post & Rail Men's Shop;Weitzenkorn's,yes,save,women's list
"Hart, Schaffner & Marx",6,PA,Greensburg;Indiana;Johnstown;Newtown Square;Pittsburgh;State College,In scope 1,"Hart Schaffner Marx;Hart, Schaffner & Marx",700 Shop;Harpers;Hassis Men's Shop;Heinz Healey's;Lapels;Millers of Johnstown,yes,add,2 spellings merged
Tommy Bahama,7,PA;MA,Greensburg;Ligonier;Malvern;Newtown;Pittsburgh;State College;Orleans,In scope 5;Multigender 1,Tommy Bahama;Watson's Style,Englund's Apparel for Men;Giovanni's Fine Fashions;Harpers;Heinz Healey's;Lapels;Post & Rail Men's Shop,yes,add,
Adidas,4,NJ;PA,Indiana;Philadelphia;Pittsburgh;Somerville,Multigender 3;In scope 1,Adidas,700 Shop;Evolve Clothing Gallery;TONS;Totem Brand Co.,yes,add,
Birkenstock,4,NJ;PA,Allentown;Maplewood;Philadelphia;Somerville,Multigender 3;In scope 1,Birkenstock,City Workshop Men's Supply Co.;Evolve Clothing Gallery;Totem Brand Co.;assembly88,yes,add,
Bosca,4,PA,Phoenixville;Pittsburgh;State College;West Chester,In scope 2;Multigender 2,Bosca,Harpers;Heinz Healey's;Phineas Gage;Weitzenkorn's,yes,save,accessories
PennBilt,4,NJ;PA,Allentown;Far Hills;State College;Wayne,Multigender 2;In scope 1,PennBilt;Pennbilt,Hans Clothier;Harpers;Out There Outfitters;assembly88,yes,add,check stockists · khakis only · 2 spellings merged
Red Wing Heritage,4,PA,Allentown;Philadelphia;Phoenixville,In scope 2;Multigender 2,Red Wing Heritage,Franklin & Poe;Totem Brand Co.;Weitzenkorn's;assembly88,yes,save,shoes only
Salomon,4,PA,Kennett Square;Philadelphia;Pittsburgh;Wayne,Multigender 4,Salomon,Out There Outfitters;TONS;Totem Brand Co.;Trail Creek Outfitters,yes,save,shoes only
Samurai Jeans,4,NJ;PA,Maplewood;Philadelphia;Somerville,In scope 2;Multigender 2,Samurai Jeans,City Workshop Men's Supply Co.;Evolve Clothing Gallery;Franklin & Poe;Totem Brand Co.,yes,save,online and boutique only
Secrid,4,PA,Newtown;Philadelphia;Pittsburgh;State College,In scope 2;Multigender 2,Secrid,Giovanni's Fine Fashions;Harpers;Heinz Healey's;Totem Brand Co.,yes,save,accessories
Smathers & Branson,4,NJ;PA,Allentown;Far Hills;Long Beach Township;Summit,In scope 2;Multigender 2,Smathers & Branson,Hans Clothier;John Hyatt Clothing;Sink R Swim;assembly88,yes,add,
34 Heritage,3,NJ;PA,Far Hills;Indiana;Phoenixville,In scope 3,34 Heritage,700 Shop;Hans Clothier;Weitzenkorn's,yes,add,
3sixteen,3,NJ;PA,Maplewood;Philadelphia;Pittsburgh,In scope 2,3Sixteen;3sixteen,City Workshop Men's Supply Co.;Franklin & Poe;Vestis,yes,add,2 spellings merged
Alden,3,NJ;PA,Maplewood;Philadelphia,In scope 2;Multigender 1,Alden,City Workshop Men's Supply Co.;Franklin & Poe;Totem Brand Co.,yes,save,shoes only
American Trench,3,PA,Philadelphia;Phoenixville;Pittsburgh,In scope 3,American Trench,Franklin & Poe;Vestis;Weitzenkorn's,yes,add,check stockists
